coordinate qsharp_0 lift_0
0 -654294865159960153810422515733461891226948644398376636603968045777755867527/268001411594916611874350312941996893213971817300528074345331956690439655449477 0
1 -158776929203388041254952318667026999157285419158635425132052452134185886184/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
2 -340459807504292585123837963244559269589445079300446287867133569647823922087/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
3 1338589923375113577643096603995630255566141124516691229731964130765784862701/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
4 4409295111831119059997156446880226318938004110245308720243410829457626500344/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
5 80710824730633042879318841902370905152135437099096351801284676722813916015/804004234784749835623050938825990679641915451901584223035995870071318966348431 43391881386
6 -1695650556257028027196874350156768324716108532303418467956720200762055189601/268001411594916611874350312941996893213971817300528074345331956690439655449477 22063652375
7 -5418790427722987942400753892818600793549231814612105787592829429740717693242/268001411594916611874350312941996893213971817300528074345331956690439655449477 39224312375
8 -16517674746420318743739391542241104424530301470443941849050634762999914772597/804004234784749835623050938825990679641915451901584223035995870071318966348431 -5148185592
9 887812509317819362606264451913241326069293025442299323279041789876630217566/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
10 -487513779482384806128887956179682775935663950125831706975577173935613620089/268001411594916611874350312941996893213971817300528074345331956690439655449477 -4167569011
11 -11200302656985885664655606671139746805405296515644132358307940024432235791327/804004234784749835623050938825990679641915451901584223035995870071318966348431 12870477619
12 -8514306421432717117031037677330619367904454074105676125843346214962120501386/804004234784749835623050938825990679641915451901584223035995870071318966348431 12257576323
13 -212614597366659870910896569291806346986727403057302489526078440012289217508/268001411594916611874350312941996893213971817300528074345331956690439655449477 5148185592
14 10948140294177332521415117354489277078796555523836965523299516272290495315531/804004234784749835623050938825990679641915451901584223035995870071318966348431 -9806076052
15 1942394184838736190423506184364872385665836790343257033532015276476488091355/268001411594916611874350312941996893213971817300528074345331956690439655449477 5148185592
16 -3294544864996662859882394924466768807920796705012400324668677880715421251181/89333803864972203958116770980665631071323939100176024781777318896813218483159 -7599721635
17 -5530162225328348127216612354876688964127065115571698678592082550522432865601/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
18 8386359978439892049509295300746127200124252898551429828729478591365396308765/804004234784749835623050938825990679641915451901584223035995870071318966348431 -12870477619
19 2517368926362604931078533049084450620442550109908367078741882747596651005400/89333803864972203958116770980665631071323939100176024781777318896813218483159 -13728511947
20 10257547009745904923071657915278010871271679195546788547253208816053216206199/804004234784749835623050938825990679641915451901584223035995870071318966348431 5883659683
21 432887463759437021268240111211175773209397481310255016245828104310423704706/89333803864972203958116770980665631071323939100176024781777318896813218483159 -24637744084
22 -15784837372927185916996215777033763484723449083566183835885845716272507194501/804004234784749835623050938825990679641915451901584223035995870071318966348431 12870477619
23 -1543144982862040525085998973694800969473769759317783003635352617659289892072/89333803864972203958116770980665631071323939100176024781777318896813218483159 -29908545024
24 5234033434434884861745513587100123828567655638819334978306533567373815597329/268001411594916611874350312941996893213971817300528074345331956690439655449477 13605917375
25 -318379849252612175600361204327084889400252631617182742574652323026005263265/89333803864972203958116770980665631071323939100176024781777318896813218483159 -8580316013
26 -6409839842907685358391864130222609903195526147353482376385312331100193354455/804004234784749835623050938825990679641915451901584223035995870071318966348431 -245161633
27 -3304587624246928629867038374135577922537820356088768200674620543563640969103/804004234784749835623050938825990679641915451901584223035995870071318966348431 -13851079008
28 -14288605889110204872906180956680355469889600686762026867793167474122888734517/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
29 -3648648901063283546602350511330562571796404190309733805164794073257806277840/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
30 4122544214786344827820310505229829010738761831833006256659622404894297819033/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
31 -6009865282539363084008904402304862982399450761678568003818348687935460580743/804004234784749835623050938825990679641915451901584223035995870071318966348431 -2451536043
32 -20380450374776912368852347090221078712197333211422618170062021250466915129228/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
33 11052578574956866842525250516702895410411822629083240326607371391888395861417/804004234784749835623050938825990679641915451901584223035995870071318966348431 10664108403
34 -2951014527650338798460635124871542296526513828480004782274721243784356712381/268001411594916611874350312941996893213971817300528074345331956690439655449477 -5515922811
35 1291480427453637459922628388166421776336765857726452507859630570685375204829/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
36 -18002093468014347903616081272402253988697411160471240733121611354030948904632/804004234784749835623050938825990679641915451901584223035995870071318966348431 10909222522
37 1198498361980962505703014558508392920880174784276827546562897896164664792986/89333803864972203958116770980665631071323939100176024781777318896813218483159 5270770170
38 2311904064288653520986205714039525616212720576237786148353641270663312034113/268001411594916611874350312941996893213971817300528074345331956690439655449477 -1470888110
39 9916306016395731536442366638182295459971227931986726100038254806267832223203/804004234784749835623050938825990679641915451901584223035995870071318966348431 -4045007377
40 -470532988030319426034734605128791808262169580732826469963090043931649800022/89333803864972203958116770980665631071323939100176024781777318896813218483159 16057456287
41 -1730510939452962907609421769135930557974575233836697787085306560811297926118/804004234784749835623050938825990679641915451901584223035995870071318966348431 4535307978
42 -11746195070581134836498628865670298272374217587936448905873773795230453073772/804004234784749835623050938825990679641915451901584223035995870071318966348431 -122561634
43 -9535642822777244515055190632304289771230227045919330962569588915661989217564/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
44 8282512525307889107263472102142564873826716205214416852061253479160680259139/268001411594916611874350312941996893213971817300528074345331956690439655449477 2941808972
45 4607632702175778725019922845129672459318536986549354656684185369068902122996/804004234784749835623050938825990679641915451901584223035995870071318966348431 -858056344
46 9369239389418634791126722132875027748254844267032304808789754626952889444606/268001411594916611874350312941996893213971817300528074345331956690439655449477 5148185592
47 -1066698493644560614792951787647385647991661526707321824059012894944711126581/804004234784749835623050938825990679641915451901584223035995870071318966348431 30521408338
48 -11994568758983470646234799796370422861143376638763442766232379407750330192417/804004234784749835623050938825990679641915451901584223035995870071318966348431 -6864262311
49 4329407202869547648335425649564714880897063270303167921253221592664865950055/804004234784749835623050938825990679641915451901584223035995870071318966348431 19734720125
50 -1470197617299868099762235538774635259432880048392201485566527364106107053856/268001411594916611874350312941996893213971817300528074345331956690439655449477 3554724221
51 -20628866969894534629448171726022091381261569995396209095877709087834069222438/804004234784749835623050938825990679641915451901584223035995870071318966348431 1348334888
52 292330257305572291172977838789821338076572087836991319902990034447219357558/268001411594916611874350312941996893213971817300528074345331956690439655449477 19612151248
53 -11847846035281863678568205579084771452086839540913014703256626786938156506390/804004234784749835623050938825990679641915451901584223035995870071318966348431 -3799850704
54 14131605910559832383714707400475460588582872180332820877829952045946288164772/804004234784749835623050938825990679641915451901584223035995870071318966348431 0
