coordinate qsharp lift
0 -99629301668866092896707344590671053387877441564164572732079506586094768051852750/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
1 -6804412617883554538203058037239174389306930900068093446430215722011177697859450/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
2 34216228569704147158205610000191955309164316380638612384901235608131427365688997/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
3 291613939181501994819619306019016944734462267584051431063529676126229838759365675/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
4 48383198419429693266260884113710094294299850156992338355798347450978552240234094/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
5 14144916665938462253184888895514048113798244211102207533891992199844754117624203/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
6 11606834627901027987476853770610567571478893284972014440056264616793183474076459/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
7 -400867173814435406398913038461237122343326436118529362691486166408686703859023828/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
8 -566231208969086886559705323570447806308746958425788596148183352878912179087949393/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
9 145671418829906571976020104284775465891843539492361438550881800365689583871629633/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
10 195052032043297671691152028773607619945400442050384962173118035313031585260203461/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
11 -487353752970713912375277162278021448365705836643221032203238889911440860107207299/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
12 -114616404772614260393814828719502075202943082398721542455549226545599215973074369/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
13 -108799787975893640063105013992728957349781070365732504200213334298837135471516964/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
14 50104099335641487112733447160637344370464667316827072457789721281081494779758884/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
15 131447012607159209060322347573006031219727890690042798235865357700546339103197002/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
16 -948417415933519059136825022830609208174539675388580241113285613444290963512680858/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
17 -103915426618272658130864207149881967150207964360534841228810285857240023418303313/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
18 1596955782211858849054021366487435579219879221345464207494249319189651455052071361/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
19 1390931840969156900159019203142868835473096213818349301111970691479407486342888803/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
20 628658456239276838390648989444159003593268800915505174409665094375599067836266103/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
21 18046567815602504824723452888701613572315365756045451796188442754696413324149995/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
22 -990331947244308152174167930417521042083967368220351075769279156374930983992408874/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
23 -335272270034828784324000193241889114703428229260491213725437861792188181406671240/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
24 510595200928412867813994535856906557043578991555049238163844450239935610118704104/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
25 -151334638216339674684400845500665757346116068413858193253320854973374885579910287/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
26 -208529810877169271156844445011820072069197438004726346135343825280966871581596660/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
27 540594442948422479431879267167339372223276528268795656647377821354137391023407192/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
28 -318508680655721754602279010802684426826477604412162944166008044299690940203263580/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
29 -692071423242495457540437002032914461848776180916083131088677654839356331128072/131826181247671269432793152518152195928049271388407880661657196795025925592569169 0
30 239624184904775719569491008079699202533842608766962029381173634265853778722346899/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
31 -64411629732022268081347280984142351031643198539502421721117881377340120342830232/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
32 -325877558694990426705857019208541416823877791312454142273698238596145064186932082/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
33 1758971127376910456427667791514071431411842809812595154641563013750034201125384384/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
34 -976833305619082276800212229783829728032928016388180033416309081665065612207097477/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
35 -15852166389601198421432141974037082430235713186169550203926177811390010110522994/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
36 -408985068525691846565654748221269615782975017572974862149632346094185292153361804/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
37 253485783168837729130631829851000076644934615004956393149200985000723066642639836/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
38 -679498207790584863700568920025886529104518130948968804687929348220292477543556378/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
39 1218144873538417702848977161204584991720644105469563363547468816958228140454552325/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
40 -824299840832444371378624950228280741181188257584063965163998075868352820006826425/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
41 -388914993487230289616563518435765073707849612398758248634693258494502982150823568/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
42 8777321666258088749699521121610242329714380347489498564758683597193023433562512/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
43 181712367547902498744864360298782077285721053649761183230474416102976174876459131/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
44 -193286566595397624096286063761710884980298700338706557716836802445527446068017083/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
45 10718409376696433594672098090128510283832396699091695148359690005404538831884971/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1
46 1029623156881733181452069750568053249237779814546606578312412580870475949981275169/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
47 -995818985623000791206980016835367509428736721876215289851901355765275370807468304/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
48 -1393159035844228151023872263186008847913218636452165514708769703746004742838162545/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
49 2620564774310131818373798380199721081404366606749160163559192959272736756261820232/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1
50 1226380427985980574598735523574079013866923135284562136769816599796548634631743994/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
51 79780723875031498275184206475122287264564915240097870098797248003335215899743726/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
52 414786212761427521466545464922010457859973056953757027023548772930908459719426920/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1
53 614539590049747134855098146378395508171892333345900297770404150390660173478166724/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
54 -988785683940556498701598137838108440978967262157886789367764232754838474817408217/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
55 -1234113849766345425110105928282382793418780270700774427261318999965528532601603835/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 1
56 -360335027712458478916650867839535394462991646171738497619018022519030675154262776/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
57 -510901359005325206703293945402213554227369387135342167849533967779018060618205468/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
58 1414009524413761405129513104061714718415365450460926366282030335249880569246084853/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
59 -520282886889711199822554267680009429594906350832419375172637847767070937207256109/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
60 1657096129364130064480148825930368937431349970370933520528416246709579243765897829/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
61 -1265370533763932165557518074964905245901517510467161614964349041005240424481934218/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
62 123022444929199191008185295610510441048532007202228749001833534975070342118452024/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
63 -1102312381480583596996188107774471104587544253439095555773735127624198088930389961/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
64 692018753174961900646014939923055094570988689382319603607463097248074310018882493/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
65 508476495580525966829599231530176371291009306936738681126256574902885446389536548/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
66 1877396252670784019661055430911990681039318563642979930380045607755096401269400943/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
67 1669653939770383676682927026647135317057719121995878287598012525611413651205349826/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
68 2360939106371827648338704259690588571250349517032780497167385100382730289287268715/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
69 175276136833120400040181479985574394925574650432953337439542304915984608321708959/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
70 1300055371766412669360633869812206862750638752253287165859237464572382895559071416/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
71 -374240836442240021307532682987064136724645005249019700027703290629723472995836522/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
