4 0 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.05}
4 1 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
4 2 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
4 3 {'index': 4, 'H_elements': 180, 'clauses': 4398, 'sat': True, 'secs': 0.0}
4 4 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.05}
4 5 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': True, 'secs': 0.0}
4 6 {'index': 4, 'H_elements': 180, 'clauses': 4398, 'sat': True, 'secs': 0.02}
4 7 {'index': 4, 'H_elements': 180, 'clauses': 4398, 'sat': True, 'secs': 0.03}
4 8 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.03}
4 9 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
5 0 {'index': 4, 'H_elements': 174, 'clauses': 3984, 'sat': False, 'secs': 0.05}
5 1 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
5 2 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.04}
5 3 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
5 4 {'index': 7, 'H_elements': 114, 'clauses': 1662, 'sat': False, 'secs': 0.0}
5 5 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
5 6 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
6 0 {'index': 4, 'H_elements': 174, 'clauses': 3984, 'sat': False, 'secs': 0.03}
6 1 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.08}
6 2 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.03}
6 3 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.03}
6 4 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
6 5 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.02}
6 6 {'index': 7, 'H_elements': 114, 'clauses': 1662, 'sat': False, 'secs': 0.03}
7 0 {'index': 2, 'H_elements': 324, 'clauses': 15690, 'sat': False, 'secs': 0.06}
7 1 {'index': 6, 'H_elements': 112, 'clauses': 1634, 'sat': True, 'secs': 0.02}
7 2 {'index': 2, 'H_elements': 324, 'clauses': 15690, 'sat': False, 'secs': 0.05}
7 3 {'index': 2, 'H_elements': 324, 'clauses': 15690, 'sat': False, 'secs': 0.05}
7 4 {'index': 4, 'H_elements': 150, 'clauses': 4260, 'sat': False, 'secs': 0.02}
7 5 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.02}
7 6 {'index': 6, 'H_elements': 130, 'clauses': 1994, 'sat': False, 'secs': 0.02}
7 7 {'index': 5, 'H_elements': 144, 'clauses': 2730, 'sat': False, 'secs': 0.02}
7 8 {'index': 6, 'H_elements': 130, 'clauses': 1994, 'sat': False, 'secs': 0.02}
7 9 {'index': 6, 'H_elements': 130, 'clauses': 1994, 'sat': False, 'secs': 0.02}
8 0 {'index': 4, 'H_elements': 150, 'clauses': 4260, 'sat': True, 'secs': 0.02}
8 1 {'index': 5, 'H_elements': 144, 'clauses': 2730, 'sat': False, 'secs': 0.02}
8 2 {'index': 6, 'H_elements': 126, 'clauses': 2064, 'sat': True, 'secs': 0.02}
8 3 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.04}
8 4 {'index': 6, 'H_elements': 130, 'clauses': 1994, 'sat': False, 'secs': 0.02}
9 0 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.06}
9 1 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
9 2 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
9 3 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
9 4 {'index': 7, 'H_elements': 114, 'clauses': 1662, 'sat': False, 'secs': 0.0}
9 5 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.06}
9 6 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.05}
9 7 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
9 8 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
9 9 {'index': 2, 'H_elements': 344, 'clauses': 16204, 'sat': False, 'secs': 0.07}
9 10 {'index': 4, 'H_elements': 180, 'clauses': 4470, 'sat': False, 'secs': 0.02}
9 11 {'index': 3, 'H_elements': 266, 'clauses': 7630, 'sat': False, 'secs': 0.04}
9 12 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.02}
9 13 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
9 14 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
9 15 {'index': 6, 'H_elements': 138, 'clauses': 2046, 'sat': False, 'secs': 0.0}
