# python3 alex.py < s24r2.txt  (S_24, rank 2; first 40 lines of the histogram, plus every pair with Delta_1 = Delta_2 = 1)
states 261720; with some Delta_i = 1: 4395; distinct pairs 75759
1460 -1,-1,1 | 1,-1,1
1398 1 | 1,-1,1
1335 -1,-1,1 | 1
1199 -2,1 | -1,-1,1
1035 -2,1 | 1,-1,1
997 -1,-1,1 | -1,-1,1
851 -1,-1,1 | -1,0,-1,1
841 -1,0,-1,1 | 1,-1,1
745 -1,-1,1 | 1,-1,0,1
677 1,-1,0,1 | 1,-1,1
668 -2,0,1 | -1,-1,1
625 -1,-1,0,1 | 1,-1,1
615 -1,-1,1 | 1,-2,2
606 -2,0,1 | 1,-1,1
575 1,-1,1 | 1,-1,1
529 -3,2 | -1,-1,1
463 -1,-1,1 | -1,1,-2,1
460 -1,1,-2,1 | 1,-1,1
439 1,-2,2 | 1,-1,1
401 -1,-1,0,1 | -1,-1,1
399 -3,2 | 1,-1,1
395 -2,2,1 | -1,-1,1
387 -1,-1,1 | 1,-2,-1,1
374 -2,0,0,1 | 1,-1,1
366 1,-1,0,0,1 | 1,-1,1
366 -1,-1,1 | 1,-3,1
364 -1,-1,1 | -1,0,0,-1,1
362 -1,0,0,-1,1 | 1,-1,1
351 -2,2,1 | 1,-1,1
351 1 | 1,-1,0,1
347 -1,-1,1 | 1,-2,1,1
334 -1,-1,0,0,1 | 1,-1,1
331 -2,1,-1,1 | 1,-1,1
330 -1,0,-1,0,1 | 1,-1,1
328 -2,1 | -1,0,-1,1
323 1,-2,-1,1 | 1,-1,1
318 -3,1,1 | 1,-1,1
309 1,-2,1,1 | 1,-1,1
292 -3,1,1 | -1,-1,1
287 -1,0,-1,1 | 1
# pairs 1 | 1:
17 1 | 1
