homs 19489
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [1, 0, 3, 4, 2]]
full order 5 3d 15 {'char0': 15, 'char2': 15, 'char3': 15} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [1, 2, 3, 4, 0]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 1, 2, 3, 4]]
full order 2 3d 6 {'char0': 6, 'char2': 6, 'char3': 6} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 1, 2, 4, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [0, 2, 1, 3, 4]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [1, 2, 0, 3, 4]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 4, 3], [1, 2, 0, 4, 3]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2], [0, 1, 2, 3, 4]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2], [0, 1, 3, 4, 2]]
full order 3 3d 9 {'char0': 9, 'char2': 9, 'char3': 9} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2], [0, 1, 4, 2, 3]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2], [1, 0, 2, 3, 4]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2], [1, 0, 3, 4, 2]]
full order 6 3d 18 {'char0': 18, 'char2': 18, 'char3': 18} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 3, 4, 2], [1, 0, 4, 2, 3]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 1, 4, 3], [0, 3, 4, 2, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 1, 2, 3, 4]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 2, 3, 4, 1]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 3, 4, 1, 2]]
full order 4 3d 12 {'char0': 12, 'char2': 12, 'char3': 12} gens [[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 2, 3, 4, 1], [0, 4, 1, 2, 3]]
