SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 0] c [0, 1, 0, 0] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 0] c [0, 1, 0, 1] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 0] c [0, 1, 0, 2] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 1] c [0, 1, 0, 0] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 1] c [0, 1, 0, 1] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 1] c [0, 1, 0, 2] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 2] c [0, 1, 0, 0] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 2] c [0, 1, 0, 1] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 0, 0] b [0, 0, 0, 2] c [0, 1, 0, 2] tw 1
SOL e [1, 0, 0, 0] tw0 1 a [1, 0, 1, 0] b [0, 1, 0, 0] c [0, 1, 0, 0] tw 1
solutions 162 fails [((2, 3), 5832), ((3, 3), 5346), ((4, 3), 324)]
