40_30 14 R=6 short=4 certificate OK: 17 lemmas, 172 steps; Gamma^+ is not left-orderable
40_30 57 R=6 short=4 certificate OK: 15 lemmas, 171 steps; Gamma^+ is not left-orderable
40_30 61 R=6 short=4 certificate OK: 6 lemmas, 60 steps; Gamma^+ is not left-orderable
40_30 62 R=6 short=4 certificate OK: 6 lemmas, 60 steps; Gamma^+ is not left-orderable
40_30 68 R=6 short=4 certificate OK: 13 lemmas, 194 steps; Gamma^+ is not left-orderable
40_30 114 R=6 short=4 certificate OK: 9 lemmas, 156 steps; Gamma^+ is not left-orderable
40_40 25 R=6 short=4 certificate OK: 17 lemmas, 172 steps; Gamma^+ is not left-orderable
40_40 28 R=6 short=4 certificate OK: 6 lemmas, 31 steps; Gamma^+ is not left-orderable
40_40 35 R=6 short=4 certificate OK: 12 lemmas, 104 steps; Gamma^+ is not left-orderable
40_40 38 R=6 short=4 certificate OK: 6 lemmas, 64 steps; Gamma^+ is not left-orderable
40_40 45 R=6 short=4 certificate OK: 6 lemmas, 31 steps; Gamma^+ is not left-orderable
40_40 49 R=6 short=4 certificate OK: 6 lemmas, 64 steps; Gamma^+ is not left-orderable
40_40 56 R=6 short=4 certificate OK: 19 lemmas, 164 steps; Gamma^+ is not left-orderable
40_40 58 R=6 short=4 certificate OK: 7 lemmas, 79 steps; Gamma^+ is not left-orderable
40_40 75 R=6 short=4 certificate OK: 10 lemmas, 135 steps; Gamma^+ is not left-orderable
40_40 76 R=6 short=4 certificate OK: 8 lemmas, 116 steps; Gamma^+ is not left-orderable
40_40 77 R=6 short=4 certificate OK: 10 lemmas, 89 steps; Gamma^+ is not left-orderable
40_40 107 R=6 short=4 certificate OK: 23 lemmas, 249 steps; Gamma^+ is not left-orderable
40_40 116 R=6 short=4 certificate OK: 15 lemmas, 199 steps; Gamma^+ is not left-orderable
40_40 120 R=6 short=4 certificate OK: 21 lemmas, 129 steps; Gamma^+ is not left-orderable
40_40 122 R=6 short=4 certificate OK: 23 lemmas, 250 steps; Gamma^+ is not left-orderable
40_40 124 R=6 short=4 certificate OK: 13 lemmas, 165 steps; Gamma^+ is not left-orderable
40_40 125 R=6 short=4 certificate OK: 8 lemmas, 141 steps; Gamma^+ is not left-orderable
40_40 178 R=6 short=4 certificate OK: 5 lemmas, 53 steps; Gamma^+ is not left-orderable
40_40 179 R=6 short=4 certificate OK: 16 lemmas, 95 steps; Gamma^+ is not left-orderable
40_40 180 R=6 short=4 certificate OK: 7 lemmas, 68 steps; Gamma^+ is not left-orderable
40_40 181 R=6 short=4 certificate OK: 7 lemmas, 68 steps; Gamma^+ is not left-orderable
40_40 182 R=6 short=4 certificate OK: 5 lemmas, 59 steps; Gamma^+ is not left-orderable
40_40 183 R=6 short=4 certificate OK: 10 lemmas, 85 steps; Gamma^+ is not left-orderable
40_40 184 R=6 short=4 certificate OK: 16 lemmas, 221 steps; Gamma^+ is not left-orderable
40_40 186 R=6 short=4 certificate OK: 15 lemmas, 179 steps; Gamma^+ is not left-orderable
40_40 188 R=6 short=4 certificate OK: 9 lemmas, 78 steps; Gamma^+ is not left-orderable
40_40 189 R=6 short=4 certificate OK: 13 lemmas, 187 steps; Gamma^+ is not left-orderable
40_40 190 R=6 short=4 certificate OK: 16 lemmas, 235 steps; Gamma^+ is not left-orderable
40_40 191 R=6 short=4 certificate OK: 9 lemmas, 78 steps; Gamma^+ is not left-orderable
40_40 192 R=6 short=4 certificate OK: 9 lemmas, 78 steps; Gamma^+ is not left-orderable
40_40 196 R=6 short=4 certificate OK: 23 lemmas, 357 steps; Gamma^+ is not left-orderable
40_40 199 R=6 short=4 certificate OK: 22 lemmas, 318 steps; Gamma^+ is not left-orderable
40_40 207 R=6 short=4 certificate OK: 15 lemmas, 179 steps; Gamma^+ is not left-orderable
40_40 211 R=6 short=4 certificate OK: 13 lemmas, 186 steps; Gamma^+ is not left-orderable
40_40 212 R=6 short=4 certificate OK: 8 lemmas, 81 steps; Gamma^+ is not left-orderable
40_40 213 R=6 short=4 certificate OK: 13 lemmas, 202 steps; Gamma^+ is not left-orderable
40_40 214 R=6 short=4 certificate OK: 8 lemmas, 77 steps; Gamma^+ is not left-orderable
40_40 215 R=6 short=4 certificate OK: 4 lemmas, 52 steps; Gamma^+ is not left-orderable
40_40 216 R=6 short=4 certificate OK: 8 lemmas, 80 steps; Gamma^+ is not left-orderable
40_40 217 R=6 short=4 certificate OK: 4 lemmas, 52 steps; Gamma^+ is not left-orderable
40_40 218 R=6 short=4 certificate OK: 8 lemmas, 80 steps; Gamma^+ is not left-orderable
40_40 219 R=6 short=4 certificate OK: 13 lemmas, 69 steps; Gamma^+ is not left-orderable
40_40 222 R=6 short=4 certificate OK: 10 lemmas, 129 steps; Gamma^+ is not left-orderable
40_40 224 R=6 short=4 certificate OK: 13 lemmas, 196 steps; Gamma^+ is not left-orderable
40_40 228 R=6 short=4 certificate OK: 11 lemmas, 128 steps; Gamma^+ is not left-orderable
40_40 230 R=6 short=4 certificate OK: 6 lemmas, 67 steps; Gamma^+ is not left-orderable
40_40 231 R=6 short=4 certificate OK: 8 lemmas, 81 steps; Gamma^+ is not left-orderable
40_40 242 R=6 short=4 certificate OK: 12 lemmas, 68 steps; Gamma^+ is not left-orderable
40_40 243 R=6 short=4 certificate OK: 8 lemmas, 75 steps; Gamma^+ is not left-orderable
40_40 244 R=6 short=4 certificate OK: 23 lemmas, 358 steps; Gamma^+ is not left-orderable
40_40 247 R=6 short=4 certificate OK: 23 lemmas, 358 steps; Gamma^+ is not left-orderable
40_40 248 R=6 short=4 certificate OK: 5 lemmas, 38 steps; Gamma^+ is not left-orderable
40_40 265 R=6 short=4 certificate OK: 14 lemmas, 280 steps; Gamma^+ is not left-orderable
40_40 271 R=6 short=4 certificate OK: 14 lemmas, 280 steps; Gamma^+ is not left-orderable
