0 pi_s=a pi_t=e s|0=s A t|0=t A s|3=t | undecided
1 pi_s=a pi_t=e s|0=s A t|0=t E s|3=t | undecided
2 pi_s=a pi_t=e s|0=s E t|0=t A s|3=t | undecided
3 pi_s=a pi_t=e s|0=s E t|0=t E s|3=t | undecided
4 pi_s=a pi_t=e s|0=A s t|0=A t s|3=t | undecided
5 pi_s=a pi_t=e s|0=A s t|0=E t s|3=t | undecided
6 pi_s=a pi_t=e s|0=E s t|0=A t s|3=t | undecided
7 pi_s=a pi_t=e s|0=E s t|0=E t s|3=t | undecided
8 pi_s=a pi_t=a e s|0=A s t|0=A t A s|3=t | undecided
9 pi_s=a pi_t=a e s|0=A s t|0=A t E s|3=t | undecided
11 pi_s=a pi_t=a e s|0=A s t|0=E t E s|3=t | undecided
13 pi_s=a pi_t=a e s|0=E s t|0=A t E s|3=t | undecided
15 pi_s=a pi_t=a e s|0=E s t|0=E t E s|3=t | undecided
16 pi_s=a pi_t=a E s|0=s A t|0=t s|3=t | undecided
17 pi_s=a pi_t=a E s|0=s E t|0=t s|3=t | undecided
18 pi_s=a pi_t=a E s|0=A s t|0=A t a s|3=t | undecided
19 pi_s=a pi_t=a E s|0=A s t|0=A t e s|3=t | undecided
20 pi_s=a pi_t=a E s|0=A s t|0=E t a s|3=t | undecided
21 pi_s=a pi_t=a E s|0=A s t|0=E t e s|3=t | undecided
22 pi_s=a pi_t=a E s|0=E s t|0=A t a s|3=t | undecided
23 pi_s=a pi_t=a E s|0=E s t|0=A t e s|3=t | undecided
24 pi_s=a pi_t=a E s|0=E s t|0=E t a s|3=t | undecided
25 pi_s=a pi_t=a E s|0=E s t|0=E t e s|3=t | undecided
26 pi_s=a pi_t=e a s|0=A s t|0=A t A s|3=t | undecided
29 pi_s=a pi_t=e a s|0=A s t|0=E t E s|3=t | undecided
30 pi_s=a pi_t=e a s|0=E s t|0=A t A s|3=t | undecided
34 pi_s=a pi_t=e e s|0=A s t|0=A t A s|3=t | undecided
35 pi_s=a pi_t=e e s|0=A s t|0=A t E s|3=t | undecided
36 pi_s=a pi_t=e e s|0=A s t|0=E t A s|3=t | undecided
37 pi_s=a pi_t=e e s|0=A s t|0=E t E s|3=t | undecided
39 pi_s=a pi_t=e e s|0=E s t|0=A t E s|3=t | undecided
40 pi_s=a pi_t=e e s|0=E s t|0=E t A s|3=t | infinite ord(SSTST)=inf ('A E t E t', 8, 'A E t E t')
41 pi_s=a pi_t=e e s|0=E s t|0=E t E s|3=t | undecided
47 pi_s=e pi_t=a s|0=A s t|0=E t s|3=t | undecided
49 pi_s=e pi_t=a s|0=E s t|0=E t s|3=t | undecided
50 pi_s=e pi_t=a e s|0=A s t|0=A t A s|3=t | infinite ord(SStSt)=inf ('A A t t', 8, 'A A t t')
51 pi_s=e pi_t=a e s|0=A s t|0=A t E s|3=t | undecided
53 pi_s=e pi_t=a e s|0=A s t|0=E t E s|3=t | undecided
54 pi_s=e pi_t=a e s|0=E s t|0=A t A s|3=t | undecided
55 pi_s=e pi_t=a e s|0=E s t|0=A t E s|3=t | undecided
56 pi_s=e pi_t=a e s|0=E s t|0=E t A s|3=t | undecided
57 pi_s=e pi_t=a e s|0=E s t|0=E t E s|3=t | undecided
58 pi_s=e pi_t=a E s|0=s A t|0=t s|3=t | undecided
59 pi_s=e pi_t=a E s|0=s E t|0=t s|3=t | undecided
60 pi_s=e pi_t=a E s|0=A s t|0=A t a s|3=t | undecided
61 pi_s=e pi_t=a E s|0=A s t|0=A t e s|3=t | undecided
62 pi_s=e pi_t=a E s|0=A s t|0=E t a s|3=t | undecided
63 pi_s=e pi_t=a E s|0=A s t|0=E t e s|3=t | undecided
64 pi_s=e pi_t=a E s|0=E s t|0=A t a s|3=t | undecided
65 pi_s=e pi_t=a E s|0=E s t|0=A t e s|3=t | undecided
66 pi_s=e pi_t=a E s|0=E s t|0=E t a s|3=t | undecided
67 pi_s=e pi_t=a E s|0=E s t|0=E t e s|3=t | undecided
68 pi_s=e pi_t=e a s|0=A s t|0=A t A s|3=t | undecided
72 pi_s=e pi_t=e a s|0=E s t|0=A t A s|3=t | undecided
75 pi_s=e pi_t=e a s|0=E s t|0=E t E s|3=t | undecided
77 pi_s=e pi_t=a a s|0=A s t|0=A t E s|3=t | infinite ord(SSStt)=inf ('A t E a t E', 8, 'A t E a t E')
78 pi_s=e pi_t=a a s|0=A s t|0=E t A s|3=t | undecided
79 pi_s=e pi_t=a a s|0=A s t|0=E t E s|3=t | infinite ord(SSStt)=inf ('a a E t E E t E', 11, 'a a E t E E t E')
81 pi_s=e pi_t=a a s|0=E s t|0=A t E s|3=t | undecided
82 pi_s=e pi_t=a a s|0=E s t|0=E t A s|3=t | undecided
83 pi_s=e pi_t=a a s|0=E s t|0=E t E s|3=t | undecided
87 pi_s=a e pi_t=a s|0=A s E t|0=E t s|3=t | undecided
91 pi_s=a e pi_t=a s|0=E s E t|0=E t s|3=t | undecided
92 pi_s=a e pi_t=e s|0=A s A t|0=A t s|3=t | infinite ord(SSTSt)=inf ('A t t', 8, 'A t a t')
93 pi_s=a e pi_t=e s|0=A s A t|0=E t s|3=t | undecided
94 pi_s=a e pi_t=e s|0=A s E t|0=A t s|3=t | undecided
