atoms 4096 subsets 256
status 0 value 0.7999999999999993
  w=0.150000 phi=0 codes=[[], [], ['0b1']]
  w=0.050000 phi=0 codes=[[], ['0b10000'], ['0b10001']]
  w=0.100000 phi=1 codes=[['0b1'], ['0b10000'], []]
  w=0.100000 phi=1 codes=[['0b11'], ['0b10'], []]
  w=0.050000 phi=1 codes=[['0b11'], ['0b110'], ['0b100']]
  w=0.050000 phi=1 codes=[['0b101'], ['0b110'], ['0b100']]
  w=0.050000 phi=1 codes=[['0b1000'], [], ['0b1001']]
  w=0.050000 phi=1 codes=[['0b1000'], ['0b10100'], ['0b11101']]
  w=0.050000 phi=1 codes=[['0b1000'], ['0b11000'], ['0b10001']]
  w=0.050000 phi=1 codes=[['0b1010'], ['0b11110'], ['0b10101']]
  w=0.050000 phi=1 codes=[['0b1011'], ['0b110'], ['0b1100']]
  w=0.050000 phi=1 codes=[['0b1100'], ['0b11000'], ['0b10101']]
  w=0.050000 phi=1 codes=[['0b1100'], ['0b11010'], ['0b1101']]
  w=0.050000 phi=1 codes=[['0b1101'], ['0b1010'], ['0b1100']]
  w=0.050000 phi=1 codes=[['0b1101'], ['0b10110'], ['0b1100']]
  w=0.050000 phi=1 codes=[['0b1111'], ['0b11010'], ['0b10100']]
