B ['A', 'aBab'] HIT ([(1, 2, 0), (2, 1, 0)], 'b', 2)
B ['Ab', 'AbaB'] HIT ([(2, 0, 1), (2, 1, 0)], 'a', 2)
B ['B', 'abbA'] HIT ([(2, 0, 1), (1, 0, 2)], 'a', 2)
B ['BabA', 'bA'] HIT ([(2, 1, 0), (1, 2, 0)], 'a', 2)
B ['baBA', 'aBA'] HIT ([(2, 0, 1), (0, 2, 1)], 'a', 2)
B ['bA', 'bbAA'] HIT ([(2, 1, 0), (1, 2, 0)], 'a', 2)
B ['A', 'Bab'] HIT ([(0, 2, 1), (1, 2, 0)], 'b', 2)
B ['ABab', 'b'] HIT ([(1, 0, 2), (1, 2, 0)], 'a', 2)
B ['BB', 'ABa'] HIT ([(2, 1, 0), (1, 2, 0)], 'a', 2)
B ['b', 'Aba'] HIT ([(0, 2, 1), (2, 0, 1)], 'a', 2)
B ['Aba', 'BABa'] HIT ([(1, 2, 0), (1, 0, 2)], 'a', 2)
B ['BAba', 'aba'] HIT ([(1, 0, 2), (1, 2, 0)], 'a', 2)
B ['b', 'aBA'] HIT ([(0, 2, 1), (1, 2, 0)], 'a', 2)
B ['bb', 'Abba'] HIT ([(1, 2, 0), (2, 1, 0)], 'a', 2)
B ['AB', 'aBAA'] HIT ([(2, 0, 1), (0, 2, 1)], 'a', 2)
B ['aBAA', 'ab'] HIT ([(2, 1, 0), (2, 0, 1)], 'a', 2)
B ['bAAb', 'Ba'] HIT ([(0, 2, 1), (2, 0, 1)], 'a', 2)
B ['ab', 'BabA'] HIT ([(1, 0, 2), (2, 0, 1)], 'a', 2)
B ['B', 'aBAB'] HIT ([(1, 0, 2), (1, 2, 0)], 'a', 2)
B ['BaBa', 'aB'] HIT ([(1, 2, 0), (0, 2, 1)], 'a', 2)
B ['bA', 'Ab'] HIT ([(1, 0, 2), (2, 0, 1)], 'a', 2)
B ['aB', 'BAbb'] HIT ([(1, 2, 0), (1, 0, 2)], 'b', 2)
B ['b', 'BAba'] HIT ([(2, 0, 1), (1, 0, 2)], 'a', 2)
B ['a', 'BAb'] HIT ([(2, 1, 0), (2, 0, 1)], 'b', 2)
B ['BAb', 'a'] HIT ([(1, 0, 2), (1, 2, 0)], 'b', 2)
B ['BaBA', 'Abab'] HIT ([(2, 0, 1), (0, 2, 1)], 'ab', 2)
B ['abaB', 'A'] HIT ([(1, 0, 2), (2, 0, 1)], 'b', 2)
B ['B', 'Abab'] HIT ([(0, 2, 1), (2, 0, 1)], 'a', 2)
B ['bABa', 'BBBa'] HIT ([(1, 0, 2), (0, 2, 1)], 'b', 2)
B ['bb', 'ABBa'] HIT ([(2, 0, 1), (0, 2, 1)], 'a', 2)
B ['baBA', 'AAB'] HIT ([(2, 1, 0), (1, 2, 0)], 'a', 2)
B ['Ba', 'bA'] HIT ([(2, 1, 0), (1, 2, 0)], 'a', 2)
B ['AABB', 'AABa'] HIT ([(2, 0, 1), (1, 0, 2)], 'a', 2)
nonmal S3 rank 2 subgroups 198 with hits 33
