sym4   |G|=24   |Kbar|=24   t=1   |N/M|=None   k_u(F2)=6 k_u(F3)=0
sym4   |G|=4    |Kbar|=4    t=1   |N/M|=5      k_u(F2)=0 k_u(F3)=0
sym4   |G|=12   |Kbar|=12   t=1   |N/M|=None   k_u(F2)=0 k_u(F3)=0
sym4   |G|=3    |Kbar|=3    t=1   |N/M|=8      k_u(F2)=2 k_u(F3)=0
sym4   |G|=12   |Kbar|=3    t=4   |N/M|=2      k_u(F2)=4 k_u(F3)=3
sym4   |G|=24   |Kbar|=24   t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=3
sym4   |G|=24   |Kbar|=24   t=1   |N/M|=None   k_u(F2)=6 k_u(F3)=0
sym4   |G|=3    |Kbar|=3    t=1   |N/M|=7      k_u(F2)=0 k_u(F3)=0
sym5   |G|=120  |Kbar|=24   t=5   |N/M|=None   k_u(F2)=4 k_u(F3)=5
sym5   |G|=12   |Kbar|=12   t=1   |N/M|=None   k_u(F2)=2 k_u(F3)=2
sym5   |G|=120  |Kbar|=120  t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=6
sym5   |G|=120  |Kbar|=120  t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=5
sym5   |G|=6    |Kbar|=6    t=1   |N/M|=1      k_u(F2)=0 k_u(F3)=0
sym5   |G|=6    |Kbar|=6    t=1   |N/M|=56     k_u(F2)=0 k_u(F3)=0
sym5   |G|=120  |Kbar|=120  t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=11
sym5   |G|=120  |Kbar|=120  t=1   |N/M|=None   k_u(F2)=12 k_u(F3)=12
psl5   |G|=60   |Kbar|=60   t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=0
psl5   |G|=60   |Kbar|=12   t=5   |N/M|=24     k_u(F2)=4 k_u(F3)=5
psl5   |G|=60   |Kbar|=60   t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=0
psl5   |G|=60   |Kbar|=60   t=1   |N/M|=None   k_u(F2)=4 k_u(F3)=0
psl5   |G|=12   |Kbar|=12   t=1   |N/M|=120    k_u(F2)=0 k_u(F3)=0
psl5   |G|=10   |Kbar|=10   t=1   |N/M|=3      k_u(F2)=0 k_u(F3)=1
psl5   |G|=60   |Kbar|=60   t=1   |N/M|=None   k_u(F2)=6 k_u(F3)=6
psl5   |G|=10   |Kbar|=10   t=1   |N/M|=3      k_u(F2)=0 k_u(F3)=1
psl7   |G|=21   |Kbar|=21   t=1   |N/M|=None   k_u(F2)=6 k_u(F3)=0
psl7   |G|=12   |Kbar|=3    t=4   |N/M|=2      k_u(F2)=4 k_u(F3)=3
psl7   |G|=168  |Kbar|=168  t=1   |N/M|=None   k_u(F2)=15 k_u(F3)=15
psl7   |G|=168  |Kbar|=168  t=1   |N/M|=None   k_u(F2)=13 k_u(F3)=6
psl7   |G|=168  |Kbar|=168  t=1   |N/M|=None   k_u(F2)=13 k_u(F3)=0
psl7   |G|=24   |Kbar|=8    t=3   |N/M|=8      k_u(F2)=4 k_u(F3)=2
psl7   |G|=24   |Kbar|=4    t=6   |N/M|=4      k_u(F2)=6 k_u(F3)=5
psl7   |G|=168  |Kbar|=168  t=1   |N/M|=None   k_u(F2)=8 k_u(F3)=0
