# results of run_all.sh (2026-09-18). Streams cut short by the time budget:
# stream A finished 12 of 40 files (400 samples each), stream B 11 of 60 (100 samples each);
# pool.py uses finished files only. Critical bond percolation on Z^2, p = 1/2.
# Columns: Phi = P(D_n); half = P(D_n restricted to -n/2<a<=0); PI = P(0 in I_n) (wired one-arm);
# slope = -log2 P(E_n | E_{n/2}) on nested boxes of one configuration; errors: 20-block jackknife.
# monotonicity violations (D_n true, D_{n/2} false) over all finished files: 0
# validation: phi_fast vs theta_chain, per sample, 1500 samples per n
n=4 mismatches=0
n=8 mismatches=0
n=16 mismatches=0
n=32 mismatches=0
# runs/A_*.txt samples 4800
#  n    Phi(err)            half(err)           PI(err)            slopeD(err)      slopeHalf(err)   slopePI(err)
    8 0.6863(0.0074) 0.6963(0.0069) 0.7540(0.0070) nan(nan) nan(nan) nan(nan)
   16 0.5917(0.0085) 0.5994(0.0086) 0.7023(0.0068) 0.2139(0.0124) 0.2161(0.0141) 0.1024(0.0069)
   32 0.4958(0.0086) 0.5042(0.0086) 0.6504(0.0068) 0.2549(0.0097) 0.2496(0.0098) 0.1107(0.0066)
   64 0.4123(0.0075) 0.4167(0.0074) 0.6021(0.0061) 0.2662(0.0116) 0.2750(0.0118) 0.1114(0.0043)
  128 0.3454(0.0080) 0.3488(0.0078) 0.5583(0.0066) 0.2553(0.0156) 0.2567(0.0160) 0.1088(0.0063)
  256 0.2881(0.0071) 0.2931(0.0073) 0.5204(0.0068) 0.2616(0.0162) 0.2507(0.0158) 0.1015(0.0095)
  512 0.2404(0.0046) 0.2440(0.0051) 0.4850(0.0064) 0.2612(0.0146) 0.2649(0.0133) 0.1017(0.0068)
 1024 0.2040(0.0042) 0.2075(0.0040) 0.4552(0.0056) 0.2373(0.0175) 0.2335(0.0204) 0.0915(0.0079)
# runs/B_*.txt samples 1100
#  n    Phi(err)            half(err)           PI(err)            slopeD(err)      slopeHalf(err)   slopePI(err)
    8 0.7009(0.0137) 0.7127(0.0142) 0.7755(0.0129) nan(nan) nan(nan) nan(nan)
   16 0.6100(0.0141) 0.6164(0.0149) 0.7273(0.0119) 0.2004(0.0193) 0.2096(0.0223) 0.0925(0.0118)
   32 0.5191(0.0123) 0.5273(0.0122) 0.6845(0.0125) 0.2328(0.0195) 0.2252(0.0186) 0.0874(0.0124)
   64 0.4282(0.0147) 0.4318(0.0154) 0.6409(0.0122) 0.2778(0.0257) 0.2881(0.0264) 0.0950(0.0185)
  128 0.3745(0.0137) 0.3791(0.0133) 0.5982(0.0141) 0.1931(0.0275) 0.1879(0.0251) 0.0995(0.0167)
  256 0.3164(0.0121) 0.3200(0.0133) 0.5636(0.0133) 0.2436(0.0237) 0.2445(0.0290) 0.0858(0.0156)
  512 0.2636(0.0128) 0.2636(0.0128) 0.5282(0.0145) 0.2630(0.0374) 0.2795(0.0375) 0.0937(0.0145)
 1024 0.2218(0.0126) 0.2245(0.0127) 0.4855(0.0131) 0.2492(0.0406) 0.2315(0.0387) 0.1217(0.0131)
 2048 0.1973(0.0107) 0.2009(0.0112) 0.4600(0.0138) 0.1692(0.0228) 0.1605(0.0249) 0.0777(0.0190)
# runs/*.txt samples 5900
#  n    Phi(err)            half(err)           PI(err)            slopeD(err)      slopeHalf(err)   slopePI(err)
    8 0.6890(0.0059) 0.6993(0.0054) 0.7580(0.0059) nan(nan) nan(nan) nan(nan)
   16 0.5951(0.0072) 0.6025(0.0074) 0.7069(0.0056) 0.2114(0.0110) 0.2149(0.0120) 0.1005(0.0064)
   32 0.5002(0.0074) 0.5085(0.0074) 0.6568(0.0061) 0.2507(0.0079) 0.2449(0.0087) 0.1062(0.0056)
   64 0.4153(0.0061) 0.4195(0.0061) 0.6093(0.0051) 0.2684(0.0102) 0.2775(0.0102) 0.1082(0.0048)
  128 0.3508(0.0067) 0.3544(0.0066) 0.5658(0.0056) 0.2432(0.0149) 0.2432(0.0149) 0.1070(0.0050)
  256 0.2934(0.0059) 0.2981(0.0060) 0.5285(0.0056) 0.2580(0.0146) 0.2494(0.0144) 0.0984(0.0086)
  512 0.2447(0.0044) 0.2476(0.0046) 0.4931(0.0058) 0.2615(0.0139) 0.2678(0.0125) 0.1001(0.0062)
 1024 0.2073(0.0040) 0.2107(0.0039) 0.4608(0.0048) 0.2396(0.0153) 0.2331(0.0171) 0.0974(0.0071)
# summary: weighted mean of D slopes for n=64..2048: 0.251(6); global 8->1024: zeta_eff = 0.248, PI slope 0.103, beta_eff = 2.41 (gate threshold 18/5 = 3.6)
