T 24 classes 72 orientable 8 nodes 31981 sec 0.6
closed words {0: 180, 1: 936, 2: 936}
planted surface 25 solutions 12 planted found True nodes 6983 sec 5.2
closed words {0: 180, 1: 936, 2: 936}
planted surface 25 solutions 2 planted found True nodes 5287 sec 6.3
closed words {0: 180, 1: 936, 2: 936}
surface 0 orientable False solutions 0 nodes 167833 verified True
surface 1 orientable False solutions 0 nodes 168985 verified True
surface 2 orientable False solutions 0 nodes 449551 verified True
surface 3 orientable False solutions 0 nodes 1285615 verified True
surface 4 orientable False solutions 0 nodes 353035 verified True
surface 5 orientable False solutions 0 nodes 275479 verified True
surface 6 orientable False solutions 0 nodes 253423 verified True
surface 7 orientable False solutions 0 nodes 166555 verified True
surface 8 orientable False solutions 0 nodes 16009 verified True
surface 9 orientable False solutions 0 nodes 239185 verified True
surface 10 orientable False solutions 0 nodes 151987 verified True
surface 11 orientable False solutions 0 nodes 140815 verified True
surface 12 orientable False solutions 0 nodes 15787 verified True
surface 13 orientable False solutions 0 nodes 163555 verified True
surface 14 orientable False solutions 0 nodes 156355 verified True
surface 15 orientable False solutions 0 nodes 210625 verified True
surface 16 orientable False solutions 0 nodes 14113 verified True
surface 17 orientable False solutions 20 nodes 16676 verified True
surface 18 orientable False solutions 0 nodes 17851 verified True
surface 19 orientable False solutions 0 nodes 17713 verified True
surface 20 orientable False solutions 0 nodes 229585 verified True
surface 21 orientable False solutions 0 nodes 140245 verified True
surface 22 orientable False solutions 0 nodes 163951 verified True
surface 23 orientable False solutions 0 nodes 17587 verified True
surface 24 orientable False solutions 0 nodes 17443 verified True
surface 25 orientable True solutions 20 nodes 327 verified True
surface 26 orientable False solutions 0 nodes 706687 verified True
surface 27 orientable False solutions 0 nodes 188665 verified True
surface 28 orientable False solutions 0 nodes 187549 verified True
surface 29 orientable True solutions 20 nodes 22817 verified True
surface 30 orientable False solutions 0 nodes 20713 verified True
surface 31 orientable True solutions 20 nodes 3328 verified True
surface 32 orientable False solutions 0 nodes 432199 verified True
surface 33 orientable False solutions 0 nodes 195481 verified True
surface 34 orientable False solutions 0 nodes 20827 verified True
surface 35 orientable False solutions 0 nodes 283057 verified True
surface 36 orientable False solutions 20 nodes 3342 verified True
surface 37 orientable False solutions 0 nodes 370615 verified True
surface 38 orientable False solutions 0 nodes 174307 verified True
surface 39 orientable False solutions 0 nodes 361267 verified True
surface 40 orientable False solutions 0 nodes 150679 verified True
surface 41 orientable False solutions 0 nodes 143767 verified True
surface 42 orientable True solutions 0 nodes 1493563 verified True
surface 43 orientable True solutions 20 nodes 8518 verified True
surface 44 orientable False solutions 0 nodes 51535 verified True
surface 45 orientable False solutions 0 nodes 186727 verified True
surface 46 orientable False solutions 0 nodes 164863 verified True
surface 47 orientable False solutions 0 nodes 9835 verified True
surface 48 orientable False solutions 0 nodes 314683 verified True
surface 49 orientable False solutions 0 nodes 22387 verified True
surface 50 orientable False solutions 0 nodes 13897 verified True
surface 51 orientable True solutions 0 nodes 1151155 verified True
surface 52 orientable False solutions 0 nodes 153013 verified True
surface 53 orientable False solutions 20 nodes 10310 verified True
surface 54 orientable False solutions 0 nodes 124039 verified True
surface 55 orientable False solutions 0 nodes 149023 verified True
surface 56 orientable False solutions 0 nodes 152641 verified True
surface 57 orientable False solutions 0 nodes 353587 verified True
surface 58 orientable False solutions 0 nodes 107659 verified True
surface 59 orientable False solutions 0 nodes 16279 verified True
surface 60 orientable False solutions 0 nodes 472303 verified True
surface 61 orientable False solutions 0 nodes 473713 verified True
surface 62 orientable False solutions 0 nodes 14989 verified True
surface 63 orientable False solutions 0 nodes 1043743 verified True
surface 64 orientable False solutions 0 nodes 373159 verified True
surface 65 orientable True solutions 20 nodes 521 verified True
surface 66 orientable False solutions 20 nodes 2270 verified True
surface 67 orientable True solutions 20 nodes 289 verified True
surface 68 orientable False solutions 0 nodes 942331 verified True
surface 69 orientable False solutions 0 nodes 313831 verified True
surface 70 orientable False solutions 0 nodes 202843 verified True
surface 71 orientable False solutions 0 nodes 165823 verified True
total surfaces with solutions 10 sec 120.7
