a1 ((0, 1),) b1 ((0, 1), (1, 1)) a2 ((1, 1),) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, 1)) a2 ((1, -1),) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, 1)) a2 ((1, 1), (1, 1)) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, 1)) a2 ((1, -1), (1, -1)) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, -1)) a2 ((1, 1),) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, -1)) a2 ((1, -1),) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, -1)) a2 ((1, 1), (1, 1)) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1),) b1 ((0, 1), (1, -1)) a2 ((1, -1), (1, -1)) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, 1)) a2 ((1, 1),) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, 1)) a2 ((1, -1),) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, 1)) a2 ((1, 1), (1, 1)) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, 1)) a2 ((1, -1), (1, -1)) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, -1)) a2 ((1, 1),) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, -1)) a2 ((1, -1),) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, -1)) a2 ((1, 1), (1, 1)) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, -1),) b1 ((0, 1), (1, -1)) a2 ((1, -1), (1, -1)) b3 ((0, 1), (1, 1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1), (0, 1)) b1 ((0, 1), (1, 1)) a2 ((1, 1),) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1), (0, 1)) b1 ((0, 1), (1, 1)) a2 ((1, -1),) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
a1 ((0, 1), (0, 1)) b1 ((0, 1), (1, 1)) a2 ((1, 1), (1, 1)) b3 ((0, 1), (1, -1), (0, -1)) | vertex centres y [3] | edge-twist centres [('x2y2', -1), ('x3y2', -1)] 
