===== slice 0 of 16 (k5lane.sh 16 0; log k5_n16_s0.log)
solves 2000 closed 1374 stack 715 minval 7.381463 t 47
solves 4000 closed 2762 stack 673 minval 7.318160 t 99
solves 8000 closed 5567 stack 572 minval 7.308884 t 184
solves 10000 closed 6961 stack 550 minval 7.308884 t 228
solves 12000 closed 8342 stack 508 minval 7.308884 t 264
solves 14000 closed 9742 stack 489 minval 7.308884 t 310
solves 18000 closed 12513 stack 428 minval 7.308884 t 396
solves 24000 closed 16708 stack 301 minval 7.308884 t 531
solves 26000 closed 18095 stack 259 minval 7.308884 t 578
solves 28000 closed 19481 stack 245 minval 7.308884 t 625
solves 30000 closed 20857 stack 221 minval 7.308884 t 679
solves 34000 closed 23655 stack 139 minval 7.308884 t 774
s0 m=5 first phase in [0.000000,0.098175]: ALL CLOSED  boxes 28538 (reused parent Z 15353)  solves 40994  min center value 7.308884 at [0.0818, 0.6545, 4.9742, 1.4399, 6.1523, 5.3669]  smallest half-width 1.31e-01  time 974s
===== slice 1 of 16 (k5lane.sh 16 1; log k5_n16_s1.log)
solves 10000 closed 6969 stack 545 minval 7.314146 t 256
solves 12000 closed 8327 stack 509 minval 7.314146 t 300
solves 14000 closed 9716 stack 489 minval 7.314146 t 347
solves 16000 closed 11095 stack 468 minval 7.314146 t 390
solves 18000 closed 12476 stack 430 minval 7.303335 t 436
solves 20000 closed 13878 stack 391 minval 7.303335 t 474
solves 28000 closed 19409 stack 246 minval 7.303335 t 628
solves 32000 closed 22182 stack 188 minval 7.303335 t 711
solves 34000 closed 23588 stack 139 minval 7.301124 t 758
solves 36000 closed 24980 stack 80 minval 7.301124 t 808
solves 40000 closed 27755 stack 12 minval 7.301124 t 912
n16s1 m=5 first phase in [0.098175,0.196350]: ALL CLOSED  boxes 28675 (reused parent Z 15292)  solves 41329  min center value 7.301124 at [0.1145, 0.6545, 4.9742, 1.4399, 6.1523, 5.3669]  smallest half-width 1.31e-01  time 943s
===== slice 2 of 16 (k5lane.sh 16 2; log k5_n16_s2.log)
solves 4000 closed 2767 stack 672 minval 7.337739 t 105
solves 8000 closed 5560 stack 571 minval 7.337739 t 213
solves 10000 closed 6960 stack 546 minval 7.337739 t 265
solves 12000 closed 8320 stack 508 minval 7.337739 t 330
solves 14000 closed 9701 stack 492 minval 7.337739 t 389
solves 16000 closed 11096 stack 467 minval 7.326596 t 446
solves 20000 closed 13869 stack 385 minval 7.326596 t 579
solves 22000 closed 15259 stack 325 minval 7.326596 t 648
solves 26000 closed 18014 stack 263 minval 7.326596 t 788
solves 28000 closed 19395 stack 243 minval 7.326596 t 854
solves 30000 closed 20778 stack 222 minval 7.326596 t 916
solves 32000 closed 22169 stack 186 minval 7.326063 t 969
solves 34000 closed 23568 stack 137 minval 7.326063 t 1024
solves 38000 closed 26349 stack 52 minval 7.326063 t 1151
resumed 62 boxes on stack
solves 38000 closed 26349 stack 52 minval 7.326063 t 1152
solves 40000 closed 27715 stack 13 minval 7.326063 t 1212
