OVERFLOW active=3001 total=3196
  Tt -> 1
  tT -> 1
  aA -> 1
  Aa -> 1
  TTat -> aaT
  att -> ttaa
  taaT -> Tat
  TTaTat -> aaTaaT
  taaaaT -> Taat
  aTT -> ATTa
  TTaat -> aaaaT
  TTaTaTat -> aaTaaTaaT
  TTaTaat -> aaTaaaaT
  taaaaaaT -> Taaat
  TTaTaTaat -> aaTaaTaaaaT
  TTaaTat -> aaaaTaaT
  taaaaaaaaT -> Taaaat
  TTaaTaat -> aaaaTaaaaT
  taTAtaTAt -> TatAtATAta
  taTAtaTATat -> TatAtATAtaaaT
  taTAtaTATaat -> TatAtATAtaaaaaT
  taTAtaTATaTat -> TatAtATAtaaaTaaT
  Att -> ttAA
  TTaTaTaTat -> aaTaaTaaTaaT
  TTaTaTaTaat -> aaTaaTaaTaaaaT
  TTaTaaTat -> aaTaaaaTaaT
  TTaTaaTaat -> aaTaaaaTaaaaT
  TTaaat -> aaaaaaT
  TTaTaaat -> aaTaaaaaaT
  TTaaTaaat -> aaaaTaaaaaaT
  taaaaaaaaaaT -> Taaaaat
  TTaTaTaaat -> aaTaaTaaaaaaT
  TTaTaaTaaat -> aaTaaaaTaaaaaaT
  TTaTaTaTaaat -> aaTaaTaaTaaaaaaT
  TTaTaTaaTat -> aaTaaTaaaaTaaT
  TTaTaTaaTaat -> aaTaaTaaaaTaaaaT
  TTaTaTaaTaaat -> aaTaaTaaaaTaaaaaaT
  AATT -> TTA
  TTaaTaTat -> aaaaTaaTaaT
  TTaaTaTaat -> aaaaTaaTaaaaT
  TTaaTaTaaat -> aaaaTaaTaaaaaaT
  TTaaaat -> aaaaaaaaT
  TTaTaaaat -> aaTaaaaaaaaT
  TTaaTaaaat -> aaaaTaaaaaaaaT
  taaaaaaaaaaaaT -> Taaaaaat
  TTaTaTaaaat -> aaTaaTaaaaaaaaT
  TTaaTaTaaaat -> aaaaTaaTaaaaaaaaT
  TTaTaaTaaaat -> aaTaaaaTaaaaaaaaT
  TTaTaTaTaaaat -> aaTaaTaaTaaaaaaaaT
  TTaTaTaaTaaaat -> aaTaaTaaaaTaaaaaaaaT
  TTaaTaaTat -> aaaaTaaaaTaaT
  TTaaTaaTaat -> aaaaTaaaaTaaaaT
  TTaaTaaTaaat -> aaaaTaaaaTaaaaaaT
  TTaaTaaTaaaat -> aaaaTaaaaTaaaaaaaaT
  AtATAtaT -> tATAtaTA
  ATAtaTAt -> TAtATAta
  ATAtaTATat -> TAtATAtaaaT
  ATAtaTATaat -> TAtATAtaaaaaT
  ATAtaTATaTat -> TAtATAtaaaTaaT
  ATAtaTATaaTat -> TAtATAtaaaaaTaaT
  ATAtaTATaTaat -> TAtATAtaaaTaaaaT
  ATAtaTATaTaTat -> TAtATAtaaaTaaTaaT
  ATAtaTATaaTaat -> TAtATAtaaaaaTaaaaT
  ATAtaTATaTaTaat -> TAtATAtaaaTaaTaaaaT
  aTAtATAt -> TAtaTAtA
  aTAtATATat -> TAtaTAtaT
  taaaTAtaTAt -> TaatAtATAta
  aTAtATATaat -> TAtaTAtaaaT
  taaaaaTAtaTAt -> TaaatAtATAta
  aTAtATATaaat -> TAtaTAtaaaaaT
  taaaaaaaTAtaTAt -> TaaaatAtATAta
  aTAtATATaaaat -> TAtaTAtaaaaaaaT
  taTAtaTATaaat -> TatAtATAtaaaaaaaT
  taTAtaTATaaaat -> TatAtATAtaaaaaaaaaT
  taTAtaTATaTaat -> TatAtATAtaaaTaaaaT
