OVERFLOW active=3001 total=3258
  Tt -> 1
  tT -> 1
  Aa -> 1
  aA -> 1
  Tatt -> taa
  TTat -> aaT
  ttaa -> att
  taaT -> Tat
  aaTT -> TTa
  attA -> tta
  Taatt -> taaaa
  Tatatt -> taataa
  TTaTat -> aaTaaT
  taaaaT -> Taat
  ATTa -> aTT
  TTaat -> aaaaT
  ttaTTa -> attaTT
  atAtATAtaT -> ttaTAtaTA
  Atta -> ttA
  ttatta -> attttA
  taaaaaa -> Taaatt
  TTaaatt -> aaaaaa
  taataaaa -> Tataatt
  taaaataa -> Taatatt
  taataataa -> Tatatatt
  aaaaTaaT -> TTaaTat
  aaTaaTaaT -> TTaTaTat
  aaTaaaaT -> TTaTaat
  aTTA -> ATT
  ATTTTa -> aTTaTT
  aaaaaaT -> TTaaat
  aattaTTTT -> ttaTTTTa
  TataattaTT -> taataTTaa
  TaatattaTT -> taaaataTTa
  TatatattaTT -> taataataTTa
  ttaTAtaTAt -> atAtATAta
  ttaTAtaTATat -> atAtATAtaaaT
  atAtATAtaaaaaT -> ttaTAtaTATaat
  atAtATAtaaaTaaT -> ttaTAtaTATaTat
  ttAA -> Att
  ttAttA -> Atttta
  ttAtAtATAtaT -> AttttaTAtaTA
  TaaattttA -> taaaaatta
  TataattttA -> taataaatta
  TaatattttA -> taaaatatta
  TatatattttA -> taataatatta
  TTaTaaatt -> aaTaaaaaa
  aaaaTaaaaaa -> TTaaTaaatt
  aaTaaTaaaaaa -> TTaTaTaaatt
  TaaatttAtATAtaT -> taaaaattaTAtaTA
  TTaaaatt -> aaaaaaaa
  TTaaatatt -> aaaaaataa
  ttaTAtaTATaaatt -> atAtATATaaatta
  aaaaTaataaaa -> TTaaTataatt
  aaTaaTaataaaa -> TTaTaTataatt
  TataatttAtATAtaT -> taataaattaTAtaTA
  TTaTaatatt -> aaTaaaataa
  aaaaTaaaataa -> TTaaTaatatt
  aaTaaTaaaataa -> TTaTaTaatatt
  TaatatttAtATAtaT -> taaaatattaTAtaTA
  aaaaTaataataa -> TTaaTatatatt
  aaTaaTaataataa -> TTaTaTatatatt
  TatatatttAtATAtaT -> taataatattaTAtaTA
  TataattaTaaT -> taataTTaaTat
  aaaattaTTTaaT -> ttaTTTTaaTat
  taaaataTTaaTat -> TaataattaTaaT
  TataaattaTaaT -> taataTTaaaTat
  taataataTTaaTat -> TatataattaTaaT
  aattaTTTaaTaaT -> ttaTTTTaTaTat
  TaatattaTaaTaaT -> taaaataTTaTaTat
  TatatattaTaaTaaT -> taataataTTaTaTat
  aaTaaaataaaa -> TTaTaataatt
  aattaTTTaaaaT -> ttaTTTTaTaat
  aaTaaaataataa -> TTaTaatatatt
  TaatattaTaaaaT -> taaaataTTaTaat
  TataattaTaaaaT -> taataTTaaTaat
  TatatattaTaaaaT -> taataataTTaTaat
  AATT -> TTA
  ttATTA -> AttATT
  ATTATT -> aTTTTA
  ttaTAtaTATA -> atAtATAtATT
  aTTaTTaTT -> ATTTTTTa
  aTTaTTTTA -> ATTTTATT
  aTTaTTaTaaaaT -> ATTTTTTaTaat
  aTTaTTaaaTaaT -> ATTTTTTaaTat
  aTTaTTaTaaTaaT -> ATTTTTTaTaTat
  TaaattaT -> taTTaaat
  TaaaattaT -> taTTaaaat
  aaaaaataaaa -> TTaaataatt
  taataTTaaat -> TataaattaT
  aTTaTTaaaaaT -> ATTTTTTaaat
  aaaaaattaTTT -> ttaTTTTaaat
  aaaaaataataa -> TTaaatatatt
