SUMMAND_CERTIFICATE_PASS
{"summands": [0, 0], "dimension": 3600, "pair_ranks": [1437, 1437, 1437], "triple_rank": 2151, "global_fixed": 0, "h1": 0} seconds 4.5
{"summands": [0, 1], "dimension": 2700, "pair_ranks": [1080, 1080, 1080], "triple_rank": 1620, "global_fixed": 0, "h1": 0} seconds 6.87
{"summands": [0, 2], "dimension": 1200, "pair_ranks": [480, 480, 480], "triple_rank": 720, "global_fixed": 0, "h1": 0} seconds 7.26
{"summands": [0, 3], "dimension": 1200, "pair_ranks": [480, 480, 480], "triple_rank": 720, "global_fixed": 0, "h1": 0} seconds 7.64
{"summands": [0, 4], "dimension": 1200, "pair_ranks": [480, 480, 480], "triple_rank": 720, "global_fixed": 0, "h1": 0} seconds 8.02
{"summands": [0, 5], "dimension": 1200, "pair_ranks": [480, 480, 480], "triple_rank": 720, "global_fixed": 0, "h1": 0} seconds 8.4
{"summands": [0, 6], "dimension": 2700, "pair_ranks": [1080, 1080, 1080], "triple_rank": 1620, "global_fixed": 0, "h1": 0} seconds 10.8
{"summands": [0, 7], "dimension": 3300, "pair_ranks": [1320, 1320, 1320], "triple_rank": 1980, "global_fixed": 0, "h1": 0} seconds 14.46
{"summands": [1, 0], "dimension": 2700, "pair_ranks": [1080, 1080, 1080], "triple_rank": 1620, "global_fixed": 0, "h1": 0} seconds 16.71
{"summands": [1, 1], "dimension": 2025, "pair_ranks": [808, 807, 808], "triple_rank": 1208, "global_fixed": 0, "h1": 0} seconds 17.9
{"summands": [1, 2], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 18.11
{"summands": [1, 3], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 18.32
{"summands": [1, 4], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 18.53
{"summands": [1, 5], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 18.73
{"summands": [1, 6], "dimension": 2025, "pair_ranks": [807, 808, 807], "triple_rank": 1207, "global_fixed": 0, "h1": 0} seconds 19.89
{"summands": [1, 7], "dimension": 2475, "pair_ranks": [990, 990, 990], "triple_rank": 1485, "global_fixed": 0, "h1": 0} seconds 21.72
{"summands": [2, 0], "dimension": 1200, "pair_ranks": [480, 480, 480], "triple_rank": 720, "global_fixed": 0, "h1": 0} seconds 22.1
{"summands": [2, 1], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 22.31
{"summands": [2, 2], "dimension": 400, "pair_ranks": [158, 158, 158], "triple_rank": 235, "global_fixed": 1, "h1": 0} seconds 22.36
{"summands": [2, 3], "dimension": 400, "pair_ranks": [160, 160, 160], "triple_rank": 240, "global_fixed": 0, "h1": 0} seconds 22.4
{"summands": [2, 4], "dimension": 400, "pair_ranks": [160, 160, 160], "triple_rank": 240, "global_fixed": 0, "h1": 0} seconds 22.45
{"summands": [2, 5], "dimension": 400, "pair_ranks": [160, 160, 160], "triple_rank": 240, "global_fixed": 0, "h1": 0} seconds 22.5
{"summands": [2, 6], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 22.7
{"summands": [2, 7], "dimension": 1100, "pair_ranks": [439, 439, 439], "triple_rank": 657, "global_fixed": 0, "h1": 0} seconds 23.02
{"summands": [3, 0], "dimension": 1200, "pair_ranks": [480, 480, 480], "triple_rank": 720, "global_fixed": 0, "h1": 0} seconds 23.4
{"summands": [3, 1], "dimension": 900, "pair_ranks": [360, 360, 360], "triple_rank": 540, "global_fixed": 0, "h1": 0} seconds 23.6
{"summands": [3, 2], "dimension": 400, "pair_ranks": [160, 160, 160], "triple_rank": 240, "global_fixed": 0, "h1": 0} seconds 23.65
{"summands": [3, 3], "dimension": 400, "pair_ranks": [159, 159, 159], "triple_rank": 237, "global_fixed": 0, "h1": 0} seconds 23.7
{"summands": [3, 4], "dimension": 400, "pair_ranks": [159, 159, 159], "triple_rank": 237, "global_fixed": 0, "h1": 0} seconds 23.74
{"summands": [3, 5], "dimension": 400, "pair_ranks": [159, 159, 159], "triple_rank": 237, "global_fixed": 0, "h1": 0} seconds 23.79
