family HBC2_2 T 24 p 3 girth surfaces 72 sec 0.4
surface 0 orientable False feasible False status done nodes 21 first []
surface 1 orientable False feasible False status done nodes 21 first []
surface 2 orientable False feasible False status done nodes 11 first []
surface 3 orientable False feasible False status done nodes 11 first []
surface 4 orientable False feasible False status done nodes 11 first []
surface 5 orientable False feasible False status done nodes 13 first []
surface 6 orientable False feasible False status done nodes 13 first []
surface 7 orientable False feasible False status done nodes 11 first []
surface 8 orientable False feasible False status done nodes 23 first []
surface 9 orientable False feasible False status done nodes 45 first []
surface 10 orientable False feasible False status done nodes 19 first []
surface 11 orientable False feasible False status done nodes 21 first []
surface 12 orientable False feasible False status done nodes 19 first []
surface 13 orientable False feasible False status done nodes 153 first []
surface 14 orientable False feasible False status done nodes 65 first []
surface 15 orientable False feasible False status done nodes 53 first []
surface 16 orientable False feasible False status done nodes 15 first []
surface 17 orientable False feasible False status done nodes 17 first []
surface 18 orientable False feasible False status done nodes 19 first []
surface 19 orientable False feasible False status done nodes 15 first []
surface 20 orientable False feasible False status done nodes 17 first []
surface 21 orientable False feasible False status done nodes 17 first []
surface 22 orientable False feasible False status done nodes 153 first []
surface 23 orientable False feasible False status done nodes 17 first []
surface 24 orientable False feasible False status done nodes 17 first []
surface 25 orientable True feasible False status done nodes 5 first []
surface 26 orientable False feasible False status done nodes 5 first []
surface 27 orientable False feasible False status done nodes 7 first []
surface 28 orientable False feasible False status done nodes 7 first []
surface 29 orientable True feasible False status done nodes 49 first []
surface 30 orientable False feasible False status done nodes 23 first []
surface 31 orientable True feasible False status done nodes 17 first []
surface 32 orientable False feasible False status done nodes 17 first []
surface 33 orientable False feasible False status done nodes 17 first []
surface 34 orientable False feasible False status done nodes 23 first []
surface 35 orientable False feasible False status done nodes 53 first []
surface 36 orientable False feasible False status done nodes 13 first []
surface 37 orientable False feasible False status done nodes 13 first []
surface 38 orientable False feasible False status done nodes 17 first []
surface 39 orientable False feasible False status done nodes 17 first []
surface 40 orientable False feasible False status done nodes 9 first []
surface 41 orientable False feasible False status done nodes 9 first []
surface 42 orientable True feasible False status done nodes 17 first []
surface 43 orientable True feasible False status done nodes 7 first []
surface 44 orientable False feasible False status done nodes 7 first []
surface 45 orientable False feasible False status done nodes 7 first []
surface 46 orientable False feasible False status done nodes 41 first []
surface 47 orientable False feasible False status done nodes 11 first []
surface 48 orientable False feasible False status done nodes 9 first []
surface 49 orientable False feasible False status done nodes 9 first []
surface 50 orientable False feasible False status done nodes 9 first []
surface 51 orientable True feasible False status done nodes 41 first []
surface 52 orientable False feasible False status done nodes 9 first []
surface 53 orientable False feasible False status done nodes 9 first []
surface 54 orientable False feasible False status done nodes 21 first []
surface 55 orientable False feasible False status done nodes 5 first []
surface 56 orientable False feasible False status done nodes 5 first []
surface 57 orientable False feasible False status done nodes 5 first []
surface 58 orientable False feasible False status done nodes 5 first []
surface 59 orientable False feasible False status done nodes 11 first []
surface 60 orientable False feasible False status done nodes 17 first []
surface 61 orientable False feasible False status done nodes 13 first []
surface 62 orientable False feasible False status done nodes 17 first []
surface 63 orientable False feasible False status done nodes 25 first []
surface 64 orientable False feasible False status done nodes 15 first []
surface 65 orientable True feasible False status done nodes 5 first []
surface 66 orientable False feasible False status done nodes 5 first []
surface 67 orientable True feasible False status done nodes 5 first []
surface 68 orientable False feasible False status done nodes 5 first []
surface 69 orientable False feasible False status done nodes 13 first []
surface 70 orientable False feasible False status done nodes 73 first []
surface 71 orientable False feasible False status done nodes 569 first []
