propagation: surviving windows ['bbb', 'bbc', 'bcb', 'bcc', 'cbb', 'ccb', 'ccc', 'BBB', 'BBC', 'BCB', 'BCC', 'CBB', 'CCB', 'CCC']
phi0 {'a': 'abb', 'b': 'bca', 'c': 'babb'} m 2 r 2 mask bcBC windows alive 14 slots 27556
phase 1 it 1 obj 11.000000 cols 2167 pairs 2060 min rc -4 LB -37 best -13 {2: -2.0, 3: inf, 4: -4.0} added 2167 t 1.0 tm 0.0  dartLB -13
phase 1 it 2 obj 2.252386 cols 2961 pairs 2145 min rc -6.337 LB -46.08 best -13 {2: -2.0, 3: inf, 4: -6.3371} added 794 t 2.1 tm 0.5  dartLB -17.88
phase 1 it 3 obj 1.530525 cols 3682 pairs 2188 min rc -7.784 LB -55.02 best -13 {2: -0.7004, 3: inf, 4: -7.7837} added 721 t 3.7 tm 1.2  dartLB -19.56
phase 1 it 4 obj 1.314504 cols 4295 pairs 2225 min rc -6.679 LB -46.49 best -13 {2: -0.9247, 3: inf, 4: -6.6794} added 613 t 5.3 tm 2.2  dartLB -16.7
phase 1 it 5 obj 1.086329 cols 4861 pairs 2278 min rc -6.911 LB -47.59 best -13 {2: -1.0, 3: inf, 4: -6.9114} added 566 t 7.3 tm 3.3  dartLB -16.62
phase 1 it 6 obj 0.937431 cols 5282 pairs 2315 min rc -6.227 LB -42.46 best -13 {2: 0.0, 3: inf, 4: -6.2268} added 421 t 9.3 tm 4.6  dartLB -14.43
phase 1 it 7 obj 0.788821 cols 5619 pairs 2332 min rc -6.369 LB -43.12 best -13 {2: 0.0, 3: inf, 4: -6.3686} added 337 t 11.5 tm 6.1  dartLB -13.99
phase 1 it 8 obj 0.644698 cols 5919 pairs 2364 min rc -4.85 LB -32.44 best -10.69 {2: 0.0, 3: inf, 4: -4.8501} added 300 t 14.2 tm 7.9  dartLB -10.69
phase 1 it 9 obj 0.469056 cols 6265 pairs 2383 min rc -4.589 LB -30.43 best -8.655 {2: 0.0, 3: inf, 4: -4.5887} added 346 t 16.9 tm 9.9  dartLB -8.655
phase 1 it 10 obj 0.362110 cols 6464 pairs 2407 min rc -4.874 LB -32.2 best -8.558 {2: 0.0, 3: inf, 4: -4.8737} added 199 t 19.5 tm 11.9  dartLB -8.558
phase 1 it 11 obj 0.330915 cols 6594 pairs 2419 min rc -3.715 LB -24.43 best -6.332 {2: 0.0, 3: inf, 4: -3.7147} added 130 t 22.6 tm 14.2  dartLB -6.332
phase 1 it 12 obj 0.297007 cols 6789 pairs 2433 min rc -3.074 LB -20.14 best -4.422 {2: 0.0, 3: inf, 4: -3.0738} added 195 t 25.8 tm 16.7  dartLB -4.422
