# non-left-orderability certificate: group=sigma ball L=4 kernel short=2
# each line p ; q ; r asserts p*q = r; all elements nontrivial
a6^-1 a1^-1 ; b3^-1 b4^-1 ; a6^-1 a1^-1 b3^-1 b4^-1
a6^-1 a4^-1 ; b4 b1^-1 ; a6^-1 a4^-1 b4 b1^-1
b4 b1^-1 ; a1^-1 a5 b2 b4^-1 ; a1 a6 b3^-1 b4^-1
a1 a5 ; b3^-1 b4^-1 ; a1 a5 b3^-1 b4^-1
a4 a6 b4 b3 ; b3^-1 b1 ; a4 a6 b4 b1
a5^-1 a4^-1 ; b2^-1 b3 ; a5^-1 a4^-1 b2^-1 b3
a5^-1 a1 ; b4 b2 ; a5^-1 a1 b4 b2
a5 a6^-1 ; b1 b3 ; a5 a6^-1 b1 b3
a5^-1 a6 ; b2^-1 b3^-1 ; a5^-1 a6 b2^-1 b3^-1
b1^-1 b3 ; a1^-1 a1^-1 ; a1^-1 a2^-1 b3^-1 b1
a3 a4^-1 ; b1^-1 b3^-1 ; a3 a4^-1 b1^-1 b3^-1
a5^-1 a6 ; b2^-1 b4^-1 ; a5^-1 a6 b2^-1 b4^-1
b4 b3 ; a5^-1 a1^-1 ; a4 a5 b4 b2
a1 a5 b4 b2 ; a1 a4^-1 ; a1 a1 b4 b3
b3 b1 ; a6^-1 a5 ; a5^-1 a6 b4^-1 b2^-1
a2 a1 ; b3^-1 b2 ; a2 a1 b3^-1 b2
b3^-1 b2^-1 ; a3^-1 a4 ; a4^-1 a3 b1^-1 b2^-1
a5^-1 a6 ; b2^-1 b3 ; a5^-1 a6 b2^-1 b3
a6 a5^-1 ; b3^-1 b1 ; a6 a5^-1 b3^-1 b1
a6^-1 a1 ; b3^-1 b4^-1 ; a6^-1 a1 b3^-1 b4^-1
b2^-1 b3 ; a5^-1 a1 ; a6^-1 a1 b3^-1 b1
b3^-1 b2 ; a5^-1 a1^-1 ; a6^-1 a5 b4 b2^-1
b4^-1 b2^-1 ; a5^-1 a6 ; a6^-1 a5 b3 b1
a6^-1 a5 ; b3 b1^-1 ; a6^-1 a5 b3 b1^-1
b4 b3 ; a6^-1 a4^-1 ; a6^-1 a5 b3^-1 b4^-1
b1 b2^-1 ; a4^-1 a3 ; a3^-1 a4 b3 b2^-1
b3^-1 b1^-1 ; a4 a3^-1 ; a3 a4^-1 b2^-1 b1^-1
b3^-1 b4^-1 ; a1^-1 a1^-1 ; a4 a1 b1^-1 b4^-1
b2 b4 ; a6^-1 a5 ; a5^-1 a6 b1^-1 b3^-1
b3^-1 b1 ; b1^-1 b4^-1 ; b3^-1 b4^-1
b3^-1 b4^-1 ; a3^-1 a6 ; a2 a6 b4 b3
a6^-1 a1^-1 ; b2^-1 b4^-1 ; a6^-1 a1^-1 b2^-1 b4^-1
b4^-1 b1^-1 ; a6^-1 a5 ; a2 a6 b3 b2
b4 b3 ; a6^-1 a1 ; a6^-1 a4^-1 b3^-1 b4^-1
b3 b2 ; a3^-1 a4 ; a4^-1 a3 b1 b2
a5^-1 a6 ; b4^-1 b1^-1 ; a5^-1 a6 b4^-1 b1^-1
a1 a6 ; b4 b3 ; a1 a6 b4 b3
b1 b4^-1 ; a5^-1 a4^-1 ; a2 a6 b1^-1 b4^-1
a4 a6 ; b2 b3 ; a4 a6 b2 b3
b2 b3 ; a5 a6^-1 ; a6 a5^-1 b1^-1 b4
a5^-1 a4^-1 ; b4 b2^-1 ; a5^-1 a4^-1 b4 b2^-1
b4 b2^-1 ; a5 a6^-1 ; a6 a5^-1 b3 b1
b2^-1 b1^-1 ; a3^-1 a4 ; a4^-1 a3 b2^-1 b3^-1
b2^-1 b3^-1 ; a5 a6^-1 b4 b3 ; a6 a5^-1 b1 b3
a3 a4^-1 ; b3 b1 ; a3 a4^-1 b3 b1
a1^-1 a4^-1 b3^-1 b4^-1 ; a1^-1 a4^-1 ; a1^-1 a5 b3^-1 b4^-1
b2^-1 b1^-1 ; a4^-1 a3 ; a3^-1 a4 b2^-1 b3^-1
a2 a6 ; b3 b2^-1 ; a2 a6 b3 b2^-1
a2 a1 ; a1^-1 a6 ; a2 a6
a6^-1 a4^-1 ; b3^-1 b4^-1 ; a6^-1 a4^-1 b3^-1 b4^-1
b3 b2^-1 ; a6^-1 a5 ; a5^-1 a6 b4^-1 b1
b4 b2^-1 ; a1 a6 ; a5^-1 a4^-1 b4 b1^-1
a4 a5 ; b4 b2 ; a4 a5 b4 b2
a6^-1 a1 ; b1^-1 b4^-1 ; a6^-1 a1 b1^-1 b4^-1
a4 a6 ; b4 b3 ; a4 a6 b4 b3
a5^-1 a6 ; b4 b3 ; a5^-1 a6 b4 b3
b1 b4^-1 ; a6^-1 a5 ; a5^-1 a6 b2^-1 b3
b1 b4^-1 ; a4 a5 ; a6^-1 a1^-1 b2 b4^-1
b1 b2 ; a4 a3^-1 ; a3 a4^-1 b1 b3
a1 a6 ; b2 b3 ; a1 a6 b2 b3
b3^-1 b1 ; a6^-1 a5 ; a5^-1 a6 b4 b2^-1
a6^-1 a4^-1 b4 b3 ; b3^-1 b1^-1 ; a6^-1 a4^-1 b4 b1^-1
b3^-1 b1 ; a1^-1 a2^-1 ; a1^-1 a1^-1 b1^-1 b3
a1^-1 a6 ; b3^-1 b4^-1 ; a1^-1 a6 b3^-1 b4^-1
a6^-1 a2 ; b2^-1 b3 ; a6^-1 a2 b2^-1 b3
a1 a1 ; a1^-1 a5 b3^-1 b4^-1 ; a1 a5 b3^-1 b4^-1
b1^-1 b4 ; a6^-1 a5 ; a5^-1 a6 b2 b3^-1
b2 b3^-1 ; a4^-1 a3 ; a3^-1 a4 b2 b1^-1
a4 a6 ; b3^-1 b2^-1 ; a4 a6 b3^-1 b2^-1
b4 b1 ; a6^-1 a5 b2 b4^-1 ; a4 a6 b3^-1 b4^-1
b4 b3 ; a3^-1 a5 b1 b4^-1 ; a5 a6 b3^-1 b4^-1
b3^-1 b4^-1 ; a4 a6 ; a5^-1 a6 b4 b3
a5^-1 a6 ; b1^-1 b4^-1 ; a5^-1 a6 b1^-1 b4^-1
b2 b3^-1 ; a3^-1 a4 ; a4^-1 a3 b2 b1^-1
b3^-1 b4^-1 ; a6^-1 a5 ; a6^-1 a4^-1 b4 b3
b4 b1 ; a1^-1 a1^-1 ; a1 a5 b4 b2
b3^-1 b1 ; a3^-1 a6 ; a3^-1 a5 b1 b4^-1
b3^-1 b1^-1 ; a5^-1 a6 b2^-1 b3 ; a6^-1 a4^-1 b4 b3
b2 b4^-1 ; a4 a6 ; a6^-1 a5 b1^-1 b3
a3 a4^-1 ; b1^-1 b2^-1 ; a3 a4^-1 b1^-1 b2^-1
a5^-1 a6 ; b2 b4 ; a5^-1 a6 b2 b4
b1^-1 b3^-1 ; a5^-1 a6 ; a6^-1 a5 b2 b4
b2 b3 ; a3^-1 a4 ; a4^-1 a3 b2 b1
