out_pairs_r2.txt ('abaBa', 'AbbAABB') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 2, 1 boundaries | bbaaBABA@0 rank1=True brute-bad=0 => closed genus-2 surface in D(F2,C)
out_pairs_r2.txt ('bbABBA', 'aaBBAAbb') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 2, 1 boundaries | BBaabbAA@0 rank1=True brute-bad=0 => closed genus-2 surface in D(F2,C)
out_pairs_r2.txt ('AABa', 'aaba') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 2, 3 boundaries | BAAAAB@4 rank1=True brute-bad=0; ab@1 rank1=True brute-bad=0; baaa@3 rank1=True brute-bad=0 => closed genus-2 surface in D(F2,C)
out_pairs_r2.txt ('aaBBBBA', 'AbbabbA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 2, 1 boundaries | AbbabbaBBBBA@0 rank1=True brute-bad=0 => closed genus-2 surface in D(F2,C)
out_pairs_r2.txt ('baBaaaBa', 'aaBAbAA') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 2, 3 boundaries | aBaaaBaaaBabAAb@1 rank1=True brute-bad=0; A@8 rank1=True brute-bad=0; BAbAAAbA@1 rank1=True brute-bad=0 => closed genus-2 surface in D(F2,C)
out_pairs_r2.txt ('AAAbbb', 'AAAbba') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 2, 3 boundaries | AbbA@1 rank1=True brute-bad=0; Ba@0 rank1=True brute-bad=0; aB@4 rank1=True brute-bad=0 => closed genus-2 surface in D(F2,C)
out_pairs_r3.txt ('abaBa', 'AbbAABB') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | AbbAABB@0 rank1=True brute-bad=0; aBaab@2 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('bbABBA', 'aaBBAAbb') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | BBaabbAA@0 rank1=True brute-bad=0; bbAABBaa@8 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('aBABB', 'AbaaBB') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | BAAABaa@1 rank1=True brute-bad=0; baaabAA@3 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('AABa', 'aaba') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 4 boundaries | BAAAABAB@4 rank1=True brute-bad=0; ab@1 rank1=True brute-bad=0; abaaabbaaa@2 rank1=True brute-bad=0; AAAB@3 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
out_pairs_r3.txt ('BaBaaaa', 'aBBab') CERTIFIED rank(C)=2 inf-index=True malnormal=True | Y rank 3, 2 boundaries | aBBab@0 rank1=True brute-bad=0; AbbAB@9 rank1=True brute-bad=0 => closed genus-3 surface in D(F2,C)
