TOP AAAtATatatAATTaattaTT n=2 W0=A0.A0.A0.A1.a0.a1.A2.A2.a0.a0.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATatatATTaattaaTT n=2 W0=A0.A0.A0.A1.a0.a1.A2.a0.a0.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATatataTTaattAATT n=2 W0=A0.A0.A0.A1.a0.a1.a2.a0.a0.A2.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATatataaTTaattATT n=2 W0=A0.A0.A0.A1.a0.a1.a2.a2.a0.a0.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattAATTaatataTT n=2 W0=A0.A0.A0.A1.a0.A2.A2.a0.a0.a1.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattAATTaattaTaT n=2 W0=A0.A0.A0.A1.a0.A2.A2.a0.a0.a2.a1 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattAATaTaattaTT n=2 W0=A0.A0.A0.A1.a0.A2.A2.a1.a0.a0.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattATTaatataaTT n=2 W0=A0.A0.A0.A1.a0.A2.a0.a0.a1.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattATTaattaaTaT n=2 W0=A0.A0.A0.A1.a0.A2.a0.a0.a2.a2.a1 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattATaTaattaaTT n=2 W0=A0.A0.A0.A1.a0.A2.a1.a0.a0.a2.a2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattaTTaatatAATT n=2 W0=A0.A0.A0.A1.a0.a2.a0.a0.a1.A2.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattaTTaattAATaT n=2 W0=A0.A0.A0.A1.a0.a2.a0.a0.A2.A2.a1 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattaTaTaattAATT n=2 W0=A0.A0.A0.A1.a0.a2.a1.a0.a0.A2.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattaaTTaatatATT n=2 W0=A0.A0.A0.A1.a0.a2.a2.a0.a0.a1.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattaaTTaattATaT n=2 W0=A0.A0.A0.A1.a0.a2.a2.a0.a0.A2.a1 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATattaaTaTaattATT n=2 W0=A0.A0.A0.A1.a0.a2.a2.a1.a0.a0.A2 s=a0 h0=-2 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATaatatAATTattaTT n=2 W0=A0.A0.A0.A1.a0.a0.a1.A2.A2.a0.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATaatatATTattaaTT n=2 W0=A0.A0.A0.A1.a0.a0.a1.A2.a0.a2.a2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
TOP AAAtATaatataTTattAATT n=2 W0=A0.A0.A0.A1.a0.a0.a1.a2.a0.A2.A2 s=a0 h0=-1 -> (2, 2, 1, 'cyclic', 'cyclic')
