TOP AAtATataTatAtAAtAATataTaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A2.A3.A3.a2.a3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAtAAtATataaTaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A2.A3.a2.a3.a3.a2.a1 s=a0 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtATataTatAtAAtaTatAATaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A2.a3.a2.A3.A3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAtAAtaaTatATaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A2.a3.a3.a2.A3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAttAATAtaTaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A3.A3.A2.a3.a2.a1 s=a0 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtATataTatAttATAtaaTaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A3.A2.a3.a3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAttaTAtAATaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.a3.A2.A3.A3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAttaaTAtATaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.a3.a3.A2.A3.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAtAtAATAtaTaaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A3.A3.A2.a3.a2.a2.a1 s=a0 h0=0 -> (5, 5, 3, 'PASS sZ=(4, 4)', 'PASS sZ=(4, 4)')
TOP AAtATataTatAtAtAATataTTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A3.A3.a2.a3.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
TOP AAtATataTatAtAtATAtaaTaaTaT n=3 W0=A0.A0.A1.a0.a1.a0.A1.A2.A3.A2.a3.a3.a2.a2.a1 s=a0 h0=0 -> (4, 4, 3, 'PASS sZ=(3, 3)', 'PASS sZ=(3, 3)')
