SUMMARY dbox 11 {'done': 2697, 'skipped': 303, 'h2free': 0, 'hits': 0, 'maxresid': 0} 3196.6
PROGRESS rows 11 100 {'done': 100, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 30.0
PROGRESS rows 11 200 {'done': 198, 'skipped': 2, 'h2free': 0, 'hits': 0, 'maxresid': 0} 37.7
PROGRESS rows 11 300 {'done': 297, 'skipped': 3, 'h2free': 0, 'hits': 0, 'maxresid': 0} 46.4
PROGRESS rows 11 400 {'done': 396, 'skipped': 4, 'h2free': 0, 'hits': 0, 'maxresid': 0} 49.4
PROGRESS rows 11 500 {'done': 496, 'skipped': 4, 'h2free': 0, 'hits': 0, 'maxresid': 0} 52.0
PROGRESS rows 11 600 {'done': 595, 'skipped': 5, 'h2free': 0, 'hits': 0, 'maxresid': 0} 54.5
PROGRESS rows 11 700 {'done': 693, 'skipped': 7, 'h2free': 0, 'hits': 0, 'maxresid': 0} 59.0
PROGRESS rows 11 800 {'done': 792, 'skipped': 8, 'h2free': 0, 'hits': 0, 'maxresid': 0} 62.6
PROGRESS rows 11 900 {'done': 892, 'skipped': 8, 'h2free': 0, 'hits': 0, 'maxresid': 0} 67.3
PROGRESS rows 11 1000 {'done': 991, 'skipped': 9, 'h2free': 0, 'hits': 0, 'maxresid': 0} 88.3
PROGRESS rows 11 1100 {'done': 1090, 'skipped': 10, 'h2free': 0, 'hits': 0, 'maxresid': 0} 108.6
PROGRESS rows 11 1200 {'done': 1188, 'skipped': 12, 'h2free': 0, 'hits': 0, 'maxresid': 0} 129.1
PROGRESS rows 11 1300 {'done': 1286, 'skipped': 14, 'h2free': 0, 'hits': 0, 'maxresid': 0} 139.1
PROGRESS rows 11 1400 {'done': 1386, 'skipped': 14, 'h2free': 0, 'hits': 0, 'maxresid': 0} 151.6
PROGRESS rows 11 1500 {'done': 1485, 'skipped': 15, 'h2free': 0, 'hits': 0, 'maxresid': 0} 175.8
PROGRESS rows 11 1600 {'done': 1585, 'skipped': 15, 'h2free': 0, 'hits': 0, 'maxresid': 0} 200.1
PROGRESS rows 11 1700 {'done': 1681, 'skipped': 19, 'h2free': 0, 'hits': 0, 'maxresid': 0} 204.1
PROGRESS rows 11 1800 {'done': 1779, 'skipped': 21, 'h2free': 0, 'hits': 0, 'maxresid': 0} 217.2
PROGRESS rows 11 1900 {'done': 1877, 'skipped': 23, 'h2free': 0, 'hits': 0, 'maxresid': 0} 231.4
PROGRESS rows 11 2000 {'done': 1976, 'skipped': 24, 'h2free': 0, 'hits': 0, 'maxresid': 0} 248.1
PROGRESS rows 11 2100 {'done': 2075, 'skipped': 25, 'h2free': 0, 'hits': 0, 'maxresid': 0} 259.5
PROGRESS rows 11 2200 {'done': 2174, 'skipped': 26, 'h2free': 0, 'hits': 0, 'maxresid': 0} 261.3
PROGRESS rows 11 2300 {'done': 2273, 'skipped': 27, 'h2free': 0, 'hits': 0, 'maxresid': 0} 269.2
PROGRESS rows 11 2400 {'done': 2371, 'skipped': 29, 'h2free': 0, 'hits': 0, 'maxresid': 0} 307.1
PROGRESS rows 11 2500 {'done': 2467, 'skipped': 33, 'h2free': 0, 'hits': 0, 'maxresid': 0} 319.2
PROGRESS rows 11 2600 {'done': 2564, 'skipped': 36, 'h2free': 0, 'hits': 0, 'maxresid': 0} 325.3
PROGRESS rows 11 2700 {'done': 2663, 'skipped': 37, 'h2free': 0, 'hits': 0, 'maxresid': 0} 330.5
PROGRESS rows 11 2800 {'done': 2761, 'skipped': 39, 'h2free': 0, 'hits': 0, 'maxresid': 0} 353.0
PROGRESS rows 11 2900 {'done': 2860, 'skipped': 40, 'h2free': 0, 'hits': 0, 'maxresid': 0} 364.3
SUMMARY rows 11 {'done': 2959, 'skipped': 41, 'h2free': 0, 'hits': 0, 'maxresid': 0} 370.3
PROGRESS lattice 11 100 {'done': 100, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 1.9
PROGRESS lattice 11 200 {'done': 200, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 3.6
PROGRESS lattice 11 300 {'done': 300, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 5.8
PROGRESS lattice 11 400 {'done': 400, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 7.1
PROGRESS lattice 11 500 {'done': 500, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 8.0
PROGRESS lattice 11 600 {'done': 600, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 10.2
PROGRESS lattice 11 700 {'done': 700, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 11.1
PROGRESS lattice 11 800 {'done': 800, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 11.9
PROGRESS lattice 11 900 {'done': 900, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 12.8
PROGRESS lattice 11 1000 {'done': 1000, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 13.7
PROGRESS lattice 11 1100 {'done': 1100, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 15.6
PROGRESS lattice 11 1200 {'done': 1200, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 17.6
PROGRESS lattice 11 1300 {'done': 1300, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 19.5
PROGRESS lattice 11 1400 {'done': 1400, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 22.1
PROGRESS lattice 11 1500 {'done': 1500, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 22.9
PROGRESS lattice 11 1600 {'done': 1600, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 25.3
PROGRESS lattice 11 1700 {'done': 1700, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 27.2
PROGRESS lattice 11 1800 {'done': 1800, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 29.8
PROGRESS lattice 11 1900 {'done': 1900, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 30.9
PROGRESS lattice 11 2000 {'done': 2000, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 33.6
PROGRESS lattice 11 2100 {'done': 2100, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 36.2
PROGRESS lattice 11 2200 {'done': 2200, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 40.8
PROGRESS lattice 11 2300 {'done': 2300, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 42.3
PROGRESS lattice 11 2400 {'done': 2400, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 46.6
PROGRESS lattice 11 2500 {'done': 2500, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 50.8
PROGRESS lattice 11 2600 {'done': 2600, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 54.6
PROGRESS lattice 11 2700 {'done': 2700, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 60.2
PROGRESS lattice 11 2800 {'done': 2800, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 61.4
PROGRESS lattice 11 2900 {'done': 2900, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 64.4
SUMMARY lattice 11 {'done': 3000, 'skipped': 0, 'h2free': 0, 'hits': 0, 'maxresid': 0} 66.6
