coordinate qsharp lift
0 -39174272412179637177257518212438839088843741455143406565187238398212187918595376/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
1 -123326725769631107680833139555155558089181931278617964025772351662006025036090527/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
2 -11424855608511339496210719654115116158787395698154480144473735741329133911084803/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
3 -5959573862644231392131429312290438367288559644539453543048887768445956837668798/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
4 109179015596034371940987301709519692211046903711473773857123766448785457742339370/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
5 94417244718966464470992747931258789480218314347698425024697176548233969849477789/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
6 80427136513544489310880177993055986425508807233593118044106869346200403251260365/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
7 363509155128033441722836149739769902733903821839974845624165673703724071826382607/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
8 508426621779725388137948940182276071892830285762964341414906371591857503599153510/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
9 -63408883089316663501602063002945571335858189359291309305887089186872236531432775/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
10 -63583489509914464211052325363778547320137060733112575030150709157836337015384125/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
11 90251816824007575661874563302411740614992115836675411676457026271043132500724239/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
12 458731712369535780398785466241812182757816650363192294277732442940977401902119279/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
13 -120031455394637080072182608148906380076353732606193192767224699398409307152355980/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
14 62173070986959234233704637790863283255209074916021207349545996461670223670051558/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
15 -102083717019376345747895582935567912597338458563352494819611919469514438643126764/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
16 532434102294050089824164949167127498933680750556857994591891552756157022215589736/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
17 -19037997980615295996435303397030778019165836705342869081715559725547059848324584/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
18 -56886385044266354187077243762326013271595850576021348932275429220650391052260999/17269229743444936295695902979877937666574454551881432366677092780148396252626561139 0
