coordinate basis_0 basis_1
0 22540437326857264177705076713415519788 6316505342751854248282935285466015963358
1 144309970313250671322571874792772834251 9559530396883483542840821096663661564491
2 21698575121053622926255669878587102753 -287060512630387903583925036056411447448
3 76760618461730405245982890143069080424 -9362407191066539867632455392299742019241
4 -117629380339055626666698109005333083382 -9888349683384540427302854472396014570404
5 -108345741110423310565548707182002182571 -7619341079056862077721832416682071016990
6 -92397503879239591842994053710152844187 -6475478469265611803152798831249057171854
7 -525976948339933029077721852856797137727 -14012228929787055449268520522004855128653
8 -736991718457049647510403777448263244196 -19411500408662129988703985006601669537737
9 109855619736401699328335415511606539021 -104747885999915413702178226628719886008
10 121866359319027763991293464680298280107 -1753277016743204584507703799471221899986
11 -223296728506340246125862395813848895345 9572063589602736177010943456703582728962
12 -570230465182932357838025696293908633205 -30849309930712342491631714801834908800288
13 116029222767311070640213282246903632372 12742532756340146305951956475535588178904
14 -61594348241444073916590782796036814046 -6389924259643270828412230999829133699998
15 152220553403820866569329375465732418456 3299955282378489056214752729266256171210
16 -856759736985598801731517102819668817364 -8366639995065484756550470571545467306430
17 -2312041473791230387088076537836277414 4937287069119064743117978006337336704585
18 449057650494955862810612807553556673869 -49436342260516686219670994545879834266744
19 716449964862683726613953093125622939063 -22258636377415597004608859434284168591896
20 380437721943882541347762173839407495405 -6439903446085268943422546323170757014074
21 -65372174268890163133963108223951183540 -5062724480162008465013111744519292178925
22 -559712049795060242880451086363757328486 12676396298940470386849929612037816257556
23 370640518591475937324438522354506418924 40103726380252232946971367072046959446604
24 104021006908568054713538617920487827733 -18335359819632127722618268170512230794869
25 42440266490582911825332200268729745851 10119018866505155241594767364832237181082
26 -439366705637617885334541451469591112215 -17886787176842793977506864283198502809685
27 -53394562693145207375472034449779796886 -29867846283635925159938513600498687487682
28 -514485815349379126472520003173068621688 -17307754430938616943002898147918443654068
29 519857638217230812150508944154568153261 37673971302738836498388090492836141400627
30 -92770030130901696486812449076688886867 -17657341921233949772466236320309007768654
31 372868830927655154142333306796619912161 26991609775137724125023718269089741800927
32 -638378807632148217477065950273315495476 -24868340454064597961547898228413892197590
33 -31286043239448175526989748894253289730 -88075675348053105312827279558066659632942
34 449442015470281354441153946132097834065 76536789861624700150337345041882146895926
35 -14981915187154518625288420280586173147 -182152000094107007907615198281290623735
36 -569269647450852850511486998433987949939 -16382927279645915058661606305773227402577
37 24757294776167596380822930224977453274 -10821470904976805578290576207146866858814
38 -76102173601591731709384837949199197267 28385650398781588249396093713165785100857
39 260410857388891775426482693630612865486 -42960463550958825647486734228351484543949
40 -678018522378316636149982085621479393145 -3012401664759045019036515590379563878420
41 140125737564312028451589201874366113555 27990617890181282143127869446365497223429
42 -209382385358663600903907581438128062988 -13816523898680465635916291798938989344324
43 305355838362817544427284988464781768390 10631024910696719602162233893403730552857
44 -222641355696744735828817070663782626436 -4776234003909496692818545608304710772907
45 225702927055829627785992397492237939256 13905963790763115552009133043561421406343
46 1173657731799121053286594144423836541187 24653919650411250618076823486963593198850
47 394213199108257290125530440280532721758 73934763617440906125807609352368189012450
48 22324331674155220089108745423901714786 69601660745508831598303195383750597521761
49 553178239190357713905577011163746843001 -92869702688832640436979670332305462210585
50 -158413098360840975729604917933035609420 -70141265086561768810404313711384087984962
51 -955713511675792157316791559847890563800 -65008268053584626819919855917066160436018
52 373068732478468797272193954048866313822 3554809103454786149380258617047157598842
53 -28057602907073614174140626674094116248 -31866421739134759043953913464589490330100
54 -442475612443609114995569617242726040845 20096321039868545888664014686735058007936
55 -304100991975820672532401454480277179988 40948548142940730570754711142948231306597
56 387886481457149497287995564247478450967 42432806611758394099632871604084778109465
57 -714428985806165707973648633741531148906 -20676507031714010320930598803956531003122
58 777400217601117328853321121405186492633 -19491048700531755976691690592626110706176
