(0, 1, 2, 3, 4) 7 [0, 0] [0, 0] pi1 trivial
(0, 1, 2, 4, 3) 11 [0, 0] [0, 0] pi1 trivial
(0, 1, 3, 2, 4) 11 [0, 0] [0, 0] pi1 trivial
(0, 1, 3, 4, 2) 26 [0, 0] [0, 0] pi1 trivial
(0, 1, 4, 2, 3) 23 [0, 0] [0, 0] pi1 trivial
(0, 1, 4, 3, 2) 14 [0, 0] [0, 0] pi1 trivial
(0, 2, 1, 3, 4) 14 [0, 0] [0, 0] pi1 trivial
(0, 2, 1, 4, 3) 13 [0, 0] [0, 0] pi1 trivial
(0, 2, 3, 1, 4) 3 [0, 0] [0, 0] pi1 trivial
(0, 2, 3, 4, 1) 9 [0, 0] [0, 0] pi1 trivial
(0, 2, 4, 1, 3) 3 [0, 0] [0, 0] pi1 trivial
(0, 2, 4, 3, 1) 28 [0, 0] [0, 0] pi1 trivial
(0, 3, 1, 2, 4) 17 [0, 0] [0, 0] pi1 trivial
(0, 3, 1, 4, 2) 3 [0, 0] [0, 0] pi1 trivial
(0, 3, 2, 1, 4) 7 [0, 0] [0, 0] pi1 trivial
(0, 3, 2, 4, 1) 23 [0, 0] [0, 0] pi1 trivial
(0, 3, 4, 1, 2) 64 [0, 0] [0, 0] pi1 trivial
(0, 3, 4, 2, 1) 11 [0, 0] [0, 0] pi1 trivial
(0, 4, 1, 2, 3) 3 [0, 0] [0, 0] pi1 trivial
(0, 4, 1, 3, 2) 11 [0, 0] [0, 0] pi1 trivial
(0, 4, 2, 1, 3) 20 [0, 0] [0, 0] pi1 trivial
(0, 4, 2, 3, 1) 13 [0, 0] [0, 0] pi1 trivial
(0, 4, 3, 1, 2) 25 [0, 0] [0, 0] pi1 trivial
(0, 4, 3, 2, 1) 25 [0, 0] [0, 0] pi1 trivial
(1, 0, 2, 3, 4) 25 [0, 0] [0, 0] pi1 trivial
(1, 0, 2, 4, 3) 1 [0] [0] pi1 trivial
(1, 0, 3, 2, 4) 15 [0, 0] [0, 0] pi1 trivial
(1, 0, 3, 4, 2) 3 [0, 0] [0, 0] pi1 trivial
(1, 0, 4, 2, 3) 7 [0, 0] [0, 0] pi1 trivial
(1, 0, 4, 3, 2) 23 [0, 0] [0, 0] pi1 trivial
(1, 2, 0, 3, 4) 11 [0, 0] [0, 0] pi1 trivial
(1, 2, 0, 4, 3) 7 [0, 0] [0, 0] pi1 trivial
(1, 2, 3, 0, 4) 3 [0, 0] [0, 0] pi1 trivial
(1, 2, 3, 4, 0) 11 [0, 0] [0, 0] pi1 trivial
(1, 2, 4, 0, 3) 1 [0] [0] pi1 trivial
(1, 2, 4, 3, 0) 29 [0, 0] [0, 0] pi1 trivial
(1, 3, 0, 2, 4) 49 [0, 0] [0, 0] pi1 trivial
(1, 3, 0, 4, 2) 3 [0, 0] [0, 0] pi1 trivial
(1, 3, 2, 0, 4) 7 [0, 0] [0, 0] pi1 trivial
(1, 3, 2, 4, 0) 13 [0, 0] [0, 0] pi1 trivial
