# Raw outputs, 2026-09-17. Heuristic search: False/FAIL means budget or pruning failure, never a proof.

## python3 mcensus.py 2 1 1500 cohn
FAIL (1, -2) (2, 1) (4, 64)
FAIL (1, -2) (-2, -1) (4, 64)
FAIL (1, 2) (2, -1) (4, 64)
FAIL (1, 2) (-2, 1) (4, 64)
FAIL (2, -2) (2, 1) (4, 81)
FAIL (2, -2) (-2, -1) (4, 81)
FAIL (2, -1) (1, 2) (4, 64)
FAIL (2, -1) (2, 1) (4, 42)
FAIL (2, -1) (2, 2) (4, 81)
FAIL (2, -1) (-1, -2) (4, 64)
FAIL (2, -1) (-2, -1) (4, 42)
FAIL (2, -1) (-2, -2) (4, 81)
FAIL (2, 1) (1, -2) (4, 64)
FAIL (2, 1) (2, -2) (4, 81)
FAIL (2, 1) (2, -1) (4, 42)
FAIL (2, 1) (-1, 2) (4, 64)
FAIL (2, 1) (-2, 2) (4, 81)
FAIL (2, 1) (-2, 1) (4, 42)
FAIL (2, 2) (2, -1) (4, 81)
FAIL (2, 2) (-2, 1) (4, 81)
mode cohn B 2 W 1 budget 1500 total 162 reduced 142 failed 20 max steps on success 15 seconds 30.4

## python3 mcensus.py 3 1 1500 cohn
FAIL (1, -3) (1, 2) (5, 90)
FAIL (1, -3) (2, -1) (4, 64)
FAIL (1, -3) (2, 1) (4, 100)
FAIL (1, -3) (2, 2) (4, 45)
FAIL (1, -3) (3, -2) (4, 100)
FAIL (1, -3) (3, -1) (4, 144)
FAIL (1, -3) (3, 1) (4, 90)
FAIL (1, -3) (3, 2) (4, 256)
FAIL (1, -3) (-1, -2) (5, 90)
FAIL (1, -3) (-2, 1) (4, 64)
FAIL (1, -3) (-2, -1) (4, 100)
FAIL (1, -3) (-2, -2) (4, 45)
FAIL (1, -3) (-3, 2) (4, 100)
FAIL (1, -3) (-3, 1) (4, 144)
FAIL (1, -3) (-3, -1) (4, 90)
FAIL (1, -3) (-3, -2) (4, 256)
FAIL (1, -2) (1, 3) (5, 90)
FAIL (1, -2) (2, 1) (4, 64)
FAIL (1, -2) (2, 3) (4, 121)
FAIL (1, -2) (3, -1) (4, 64)
FAIL (1, -2) (3, 1) (4, 121)
FAIL (1, -2) (3, 3) (4, 119)
FAIL (1, -2) (-1, -3) (5, 90)
FAIL (1, -2) (-2, -1) (4, 64)
FAIL (1, -2) (-2, -3) (4, 121)
FAIL (1, -2) (-3, 1) (4, 64)
FAIL (1, -2) (-3, -1) (4, 121)
FAIL (1, -2) (-3, -3) (4, 119)
FAIL (1, 2) (1, -3) (5, 90)
FAIL (1, 2) (2, -3) (4, 121)
FAIL (1, 2) (2, -1) (4, 64)
FAIL (1, 2) (3, -3) (4, 119)
FAIL (1, 2) (3, -1) (4, 121)
FAIL (1, 2) (3, 1) (4, 64)
FAIL (1, 2) (-1, 3) (5, 90)
FAIL (1, 2) (-2, 3) (4, 121)
FAIL (1, 2) (-2, 1) (4, 64)
FAIL (1, 2) (-3, 3) (4, 119)
FAIL (1, 2) (-3, 1) (4, 121)
FAIL (1, 2) (-3, -1) (4, 64)
FAIL (1, 3) (1, -2) (5, 90)
FAIL (1, 3) (2, -2) (4, 45)
FAIL (1, 3) (2, -1) (4, 100)
FAIL (1, 3) (2, 1) (4, 64)
FAIL (1, 3) (3, -2) (4, 256)
FAIL (1, 3) (3, -1) (4, 90)
FAIL (1, 3) (3, 1) (4, 144)
FAIL (1, 3) (3, 2) (4, 100)
FAIL (1, 3) (-1, 2) (5, 90)
FAIL (1, 3) (-2, 2) (4, 45)
FAIL (1, 3) (-2, 1) (4, 100)
FAIL (1, 3) (-2, -1) (4, 64)
FAIL (1, 3) (-3, 2) (4, 256)
FAIL (1, 3) (-3, 1) (4, 90)
FAIL (1, 3) (-3, -1) (4, 144)
FAIL (1, 3) (-3, -2) (4, 100)
FAIL (2, -3) (1, 2) (4, 121)
FAIL (2, -3) (2, -1) (4, 42)
FAIL (2, -3) (2, 1) (4, 121)
FAIL (2, -3) (2, 2) (4, 225)
FAIL (2, -3) (2, 3) (4, 42)
FAIL (2, -3) (3, -1) (4, 121)
FAIL (2, -3) (3, 1) (4, 225)
FAIL (2, -3) (3, 2) (6, 183)
FAIL (2, -3) (3, 3) (4, 79)
FAIL (2, -3) (-1, -2) (4, 121)
FAIL (2, -3) (-2, 1) (4, 42)
FAIL (2, -3) (-2, -1) (4, 121)
FAIL (2, -3) (-2, -2) (4, 225)
FAIL (2, -3) (-2, -3) (4, 42)
FAIL (2, -3) (-3, 1) (4, 121)
FAIL (2, -3) (-3, -1) (4, 225)
FAIL (2, -3) (-3, -2) (6, 183)
FAIL (2, -3) (-3, -3) (4, 79)
FAIL (2, -2) (1, 3) (4, 45)
FAIL (2, -2) (2, 1) (4, 81)
FAIL (2, -2) (2, 3) (4, 225)
FAIL (2, -2) (3, 1) (4, 45)
FAIL (2, -2) (3, 2) (4, 79)
FAIL (2, -2) (3, 3) (6, 172)
FAIL (2, -2) (-1, -3) (4, 45)
FAIL (2, -2) (-2, -1) (4, 81)
FAIL (2, -2) (-2, -3) (4, 225)
FAIL (2, -2) (-3, -1) (4, 45)
FAIL (2, -2) (-3, -2) (4, 79)
FAIL (2, -2) (-3, -3) (6, 172)
FAIL (2, -1) (1, -3) (4, 64)
FAIL (2, -1) (1, 2) (4, 64)
FAIL (2, -1) (1, 3) (4, 100)
FAIL (2, -1) (2, -3) (4, 42)
FAIL (2, -1) (2, 1) (4, 42)
FAIL (2, -1) (2, 2) (4, 81)
FAIL (2, -1) (2, 3) (4, 121)
FAIL (2, -1) (3, 1) (4, 64)
FAIL (2, -1) (3, 2) (4, 100)
FAIL (2, -1) (3, 3) (4, 144)
FAIL (2, -1) (-1, 3) (4, 64)
FAIL (2, -1) (-1, -2) (4, 64)
FAIL (2, -1) (-1, -3) (4, 100)
FAIL (2, -1) (-2, 3) (4, 42)
FAIL (2, -1) (-2, -1) (4, 42)
FAIL (2, -1) (-2, -2) (4, 81)
FAIL (2, -1) (-2, -3) (4, 121)
FAIL (2, -1) (-3, -1) (4, 64)
FAIL (2, -1) (-3, -2) (4, 100)
FAIL (2, -1) (-3, -3) (4, 144)
FAIL (2, 1) (1, -3) (4, 100)
FAIL (2, 1) (1, -2) (4, 64)
FAIL (2, 1) (1, 3) (4, 64)
FAIL (2, 1) (2, -3) (4, 121)
FAIL (2, 1) (2, -2) (4, 81)
FAIL (2, 1) (2, -1) (4, 42)
FAIL (2, 1) (2, 3) (4, 42)
FAIL (2, 1) (3, -3) (4, 144)
FAIL (2, 1) (3, -2) (4, 100)
FAIL (2, 1) (3, -1) (4, 64)
FAIL (2, 1) (-1, 3) (4, 100)
FAIL (2, 1) (-1, 2) (4, 64)
FAIL (2, 1) (-1, -3) (4, 64)
FAIL (2, 1) (-2, 3) (4, 121)
FAIL (2, 1) (-2, 2) (4, 81)
FAIL (2, 1) (-2, 1) (4, 42)
FAIL (2, 1) (-2, -3) (4, 42)
FAIL (2, 1) (-3, 3) (4, 144)
FAIL (2, 1) (-3, 2) (4, 100)
FAIL (2, 1) (-3, 1) (4, 64)
FAIL (2, 2) (1, -3) (4, 45)
FAIL (2, 2) (2, -3) (4, 225)
FAIL (2, 2) (2, -1) (4, 81)
FAIL (2, 2) (3, -3) (6, 172)
FAIL (2, 2) (3, -2) (4, 79)
FAIL (2, 2) (3, -1) (4, 45)
FAIL (2, 2) (-1, 3) (4, 45)
FAIL (2, 2) (-2, 3) (4, 225)
FAIL (2, 2) (-2, 1) (4, 81)
FAIL (2, 2) (-3, 3) (6, 172)
FAIL (2, 2) (-3, 2) (4, 79)
FAIL (2, 2) (-3, 1) (4, 45)
FAIL (2, 3) (1, -2) (4, 121)
FAIL (2, 3) (2, -3) (4, 42)
FAIL (2, 3) (2, -2) (4, 225)
FAIL (2, 3) (2, -1) (4, 121)
FAIL (2, 3) (2, 1) (4, 42)
FAIL (2, 3) (3, -3) (4, 79)
FAIL (2, 3) (3, -2) (6, 183)
FAIL (2, 3) (3, -1) (4, 225)
FAIL (2, 3) (3, 1) (4, 121)
FAIL (2, 3) (-1, 2) (4, 121)
FAIL (2, 3) (-2, 3) (4, 42)
FAIL (2, 3) (-2, 2) (4, 225)
FAIL (2, 3) (-2, 1) (4, 121)
FAIL (2, 3) (-2, -1) (4, 42)
