N=40 q=2 noise=0.3 start R/4=0.73245244
  it=0 R/4=0.92313349 t=48s
  it=1 R/4=0.92737796 t=91s
  it=2 R/4=0.92841618 t=138s
  it=3 R/4=0.92882853 t=181s
  it=4 R/4=0.92967769 t=213s
  it=5 R/4=0.93075141 t=243s
  it=6 R/4=0.93134480 t=285s
  it=7 R/4=0.93167590 t=335s
  it=8 R/4=0.93184897 t=383s
  it=9 R/4=0.93200406 t=427s
  it=10 R/4=0.93212115 t=472s
  it=11 R/4=0.93220384 t=520s
  it=12 R/4=0.93228207 t=559s
  it=13 R/4=0.93233845 t=588s
  it=14 R/4=0.93237849 t=611s
  it=15 R/4=0.93241378 t=625s
  it=16 R/4=0.93244380 t=639s
  it=17 R/4=0.93247002 t=655s
  it=18 R/4=0.93249172 t=678s
  it=19 R/4=0.93251059 t=704s
  it=20 R/4=0.93252655 t=728s
  it=21 R/4=0.93254062 t=753s
  it=22 R/4=0.93255533 t=776s
  it=23 R/4=0.93256900 t=796s
  it=24 R/4=0.93258114 t=818s
  it=25 R/4=0.93259373 t=833s
  it=26 R/4=0.93260389 t=842s
  it=27 R/4=0.93262190 t=853s
  it=28 R/4=0.93264584 t=870s
  it=29 R/4=0.93268097 t=884s
  it=30 R/4=0.93270641 t=900s
  it=31 R/4=0.93273405 t=928s
  it=32 R/4=0.93275712 t=964s
  it=33 R/4=0.93278052 t=1002s
  it=34 R/4=0.93279587 t=1041s
  it=35 R/4=0.93281449 t=1083s
  it=36 R/4=0.93282785 t=1125s
  it=37 R/4=0.93284107 t=1170s
  it=38 R/4=0.93285316 t=1213s
  it=39 R/4=0.93286330 t=1239s
  it=40 R/4=0.93287376 t=1263s
  it=41 R/4=0.93288311 t=1290s
  it=42 R/4=0.93289232 t=1307s
  it=43 R/4=0.93290103 t=1321s
  it=44 R/4=0.93291022 t=1329s
  it=45 R/4=0.93291811 t=1338s
  it=46 R/4=0.93292431 t=1347s
