OCT+1 relator degrees in t: [13, 12, 16, 23]
OCT-1 relator degrees in t: [13, 12, 16, 23]
S3 relator degrees in t: [12, 8, 15, 22]
TRIV relator degrees in t: [-oo, 8, 9, 12]
OCT+1  {r5}             c_t-solutions: none; c=a solution: False
OCT+1  {r6}             c_t-solutions: none; c=a solution: False
OCT+1  {r7}             c_t-solutions: none; c=a solution: False
OCT+1  {r8}             c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6}          c_t-solutions: none; c=a solution: False
OCT+1  {r5,r7}          c_t-solutions: none; c=a solution: False
OCT+1  {r5,r8}          c_t-solutions: none; c=a solution: False
OCT+1  {r6,r7}          c_t-solutions: none; c=a solution: False
OCT+1  {r6,r8}          c_t-solutions: none; c=a solution: False
OCT+1  {r7,r8}          c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6,r7}       c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6,r8}       c_t-solutions: none; c=a solution: False
OCT+1  {r5,r7,r8}       c_t-solutions: none; c=a solution: False
OCT+1  {r6,r7,r8}       c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
OCT-1  {r5}             c_t-solutions: none; c=a solution: False
OCT-1  {r6}             c_t-solutions: none; c=a solution: False
OCT-1  {r7}             c_t-solutions: none; c=a solution: False
OCT-1  {r8}             c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6}          c_t-solutions: none; c=a solution: False
OCT-1  {r5,r7}          c_t-solutions: none; c=a solution: False
OCT-1  {r5,r8}          c_t-solutions: none; c=a solution: False
OCT-1  {r6,r7}          c_t-solutions: none; c=a solution: False
OCT-1  {r6,r8}          c_t-solutions: none; c=a solution: False
OCT-1  {r7,r8}          c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6,r7}       c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6,r8}       c_t-solutions: none; c=a solution: False
OCT-1  {r5,r7,r8}       c_t-solutions: none; c=a solution: False
OCT-1  {r6,r7,r8}       c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
S3     {r5}             c_t-solutions: none; c=a solution: False
S3     {r6}             c_t-solutions: none; c=a solution: False
S3     {r7}             c_t-solutions: none; c=a solution: True
S3     {r8}             c_t-solutions: none; c=a solution: False
S3     {r5,r6}          c_t-solutions: none; c=a solution: False
S3     {r5,r7}          c_t-solutions: none; c=a solution: False
S3     {r5,r8}          c_t-solutions: none; c=a solution: False
S3     {r6,r7}          c_t-solutions: none; c=a solution: False
S3     {r6,r8}          c_t-solutions: none; c=a solution: False
S3     {r7,r8}          c_t-solutions: none; c=a solution: False
S3     {r5,r6,r7}       c_t-solutions: none; c=a solution: False
S3     {r5,r6,r8}       c_t-solutions: none; c=a solution: False
S3     {r5,r7,r8}       c_t-solutions: none; c=a solution: False
S3     {r6,r7,r8}       c_t-solutions: none; c=a solution: False
S3     {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
TRIV   {r5}             c_t-solutions: identically zero; c=a solution: True
TRIV   {r6}             c_t-solutions: none; c=a solution: False
TRIV   {r7}             c_t-solutions: none; c=a solution: True
TRIV   {r8}             c_t-solutions: none; c=a solution: False
TRIV   {r5,r6}          c_t-solutions: none; c=a solution: False
TRIV   {r5,r7}          c_t-solutions: none; c=a solution: True
TRIV   {r5,r8}          c_t-solutions: none; c=a solution: False
TRIV   {r6,r7}          c_t-solutions: none; c=a solution: False
TRIV   {r6,r8}          c_t-solutions: none; c=a solution: False
TRIV   {r7,r8}          c_t-solutions: none; c=a solution: False
TRIV   {r5,r6,r7}       c_t-solutions: none; c=a solution: False
TRIV   {r5,r6,r8}       c_t-solutions: none; c=a solution: False
TRIV   {r5,r7,r8}       c_t-solutions: none; c=a solution: False
TRIV   {r6,r7,r8}       c_t-solutions: none; c=a solution: False
TRIV   {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
