OCT+1 relator degrees in t: [10, 20, 16, 28]
OCT-1 relator degrees in t: [10, 20, 16, 28]
S3 relator degrees in t: [10, 20, 12, 28]
TRIV relator degrees in t: [6, 11, -oo, 14]
OCT+1  {r5}             c_t-solutions: none; c=a solution: False
OCT+1  {r6}             c_t-solutions: deg 1: t - 2 - 2*sqrt(2)*I; c=a solution: False
OCT+1  {r7}             c_t-solutions: none; c=a solution: False
OCT+1  {r8}             c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6}          c_t-solutions: none; c=a solution: False
OCT+1  {r5,r7}          c_t-solutions: none; c=a solution: False
OCT+1  {r5,r8}          c_t-solutions: none; c=a solution: False
OCT+1  {r6,r7}          c_t-solutions: none; c=a solution: False
OCT+1  {r6,r8}          c_t-solutions: none; c=a solution: False
OCT+1  {r7,r8}          c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6,r7}       c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6,r8}       c_t-solutions: none; c=a solution: False
OCT+1  {r5,r7,r8}       c_t-solutions: none; c=a solution: False
OCT+1  {r6,r7,r8}       c_t-solutions: none; c=a solution: False
OCT+1  {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
OCT-1  {r5}             c_t-solutions: none; c=a solution: False
OCT-1  {r6}             c_t-solutions: deg 1: t - 2 + 2*sqrt(2)*I; c=a solution: False
OCT-1  {r7}             c_t-solutions: none; c=a solution: False
OCT-1  {r8}             c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6}          c_t-solutions: none; c=a solution: False
OCT-1  {r5,r7}          c_t-solutions: none; c=a solution: False
OCT-1  {r5,r8}          c_t-solutions: none; c=a solution: False
OCT-1  {r6,r7}          c_t-solutions: none; c=a solution: False
OCT-1  {r6,r8}          c_t-solutions: none; c=a solution: False
OCT-1  {r7,r8}          c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6,r7}       c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6,r8}       c_t-solutions: none; c=a solution: False
OCT-1  {r5,r7,r8}       c_t-solutions: none; c=a solution: False
OCT-1  {r6,r7,r8}       c_t-solutions: none; c=a solution: False
OCT-1  {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
S3     {r5}             c_t-solutions: none; c=a solution: False
S3     {r6}             c_t-solutions: deg 1: t + 2; c=a solution: False
S3     {r7}             c_t-solutions: none; c=a solution: False
S3     {r8}             c_t-solutions: none; c=a solution: False
S3     {r5,r6}          c_t-solutions: none; c=a solution: False
S3     {r5,r7}          c_t-solutions: none; c=a solution: False
S3     {r5,r8}          c_t-solutions: none; c=a solution: False
S3     {r6,r7}          c_t-solutions: none; c=a solution: False
S3     {r6,r8}          c_t-solutions: none; c=a solution: False
S3     {r7,r8}          c_t-solutions: none; c=a solution: False
S3     {r5,r6,r7}       c_t-solutions: none; c=a solution: False
S3     {r5,r6,r8}       c_t-solutions: none; c=a solution: False
S3     {r5,r7,r8}       c_t-solutions: none; c=a solution: False
S3     {r6,r7,r8}       c_t-solutions: none; c=a solution: False
S3     {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
TRIV   {r5}             c_t-solutions: none; c=a solution: False
TRIV   {r6}             c_t-solutions: none; c=a solution: True
TRIV   {r7}             c_t-solutions: identically zero; c=a solution: True
TRIV   {r8}             c_t-solutions: none; c=a solution: False
TRIV   {r5,r6}          c_t-solutions: none; c=a solution: False
TRIV   {r5,r7}          c_t-solutions: none; c=a solution: False
TRIV   {r5,r8}          c_t-solutions: none; c=a solution: False
TRIV   {r6,r7}          c_t-solutions: none; c=a solution: True
TRIV   {r6,r8}          c_t-solutions: none; c=a solution: False
TRIV   {r7,r8}          c_t-solutions: none; c=a solution: False
TRIV   {r5,r6,r7}       c_t-solutions: none; c=a solution: False
TRIV   {r5,r6,r8}       c_t-solutions: none; c=a solution: False
TRIV   {r5,r7,r8}       c_t-solutions: none; c=a solution: False
TRIV   {r6,r7,r8}       c_t-solutions: none; c=a solution: False
TRIV   {r5,r6,r7,r8}    c_t-solutions: none; c=a solution: False
