p=3: b-classes=1 c-choices=2 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=5: b-classes=3 c-choices=10 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=7: b-classes=7 c-choices=18 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=11: b-classes=3 c-choices=26 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=13: b-classes=3 c-choices=26 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=17: b-classes=7 c-choices=34 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=19: b-classes=3 c-choices=42 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=23: b-classes=7 c-choices=50 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=29: b-classes=3 c-choices=58 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=31: b-classes=7 c-choices=66 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=37: b-classes=3 c-choices=74 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=41: b-classes=7 c-choices=82 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=43: b-classes=3 c-choices=90 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=47: b-classes=7 c-choices=98 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=53: b-classes=3 c-choices=106 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=59: b-classes=3 c-choices=122 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=61: b-classes=3 c-choices=122 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=67: b-classes=3 c-choices=138 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=71: b-classes=7 c-choices=146 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=73: b-classes=7 c-choices=146 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=79: b-classes=7 c-choices=162 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=83: b-classes=3 c-choices=170 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=89: b-classes=7 c-choices=178 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=97: b-classes=7 c-choices=194 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=101: b-classes=3 c-choices=202 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
p=103: b-classes=7 c-choices=210 satisfied: ['{r6}', '{r7}', '{r6,r7}'] witnesses(>=3): {}
