# GENERATED by scripts/sentence_census.py -- do not edit.
# Edit metadata/MF_RECOGNITION_SENTENCE_MAP.tsv and regenerate.
key	line	section	env	label	status	decls	sentence
7b8f14aa4de8	68				structural		\frenchspacing
aea2e8dcb3b4	75		abstract		formalized	GroupApproximation.Manuscript.MFRecognition.Preliminaries.PrintedMFGroupDefinition GroupApproximation.Manuscript.MFRecognition.Preliminaries.isOperatorMF_iff_nonempty_weakMFApproximation	A countable group is MF if it admits finite-dimensional unitary models that are asymptotically multiplicative and asymptotically separate nonidentity elements in operator norm.
bae33ce50d1a	75		abstract		formalized	GroupApproximation.Manuscript.MFRecognition.Preliminaries.PrintedRecognitionPi02Complete GroupApproximation.Manuscript.MFRecognition.Preliminaries.manuscriptRecognitionPi02Complete	We show that deciding whether a finite presentation defines an MF group is $\Pi^0_2$-complete.
c54ed6a64a49	75		abstract		formalized	GroupApproximation.Manuscript.MFRecognition.Preliminaries.manuscriptNoDecider GroupApproximation.Manuscript.MFRecognition.Preliminaries.manuscriptNonMFPresentationsNotRE GroupApproximation.Manuscript.MFRecognition.Preliminaries.PrintedMFPresentationsNotRE GroupApproximation.Manuscript.MFRecognition.Preliminaries.manuscriptMFPresentationsNotRE	So it is impossible to construct an algorithm that decides from a finite presentation whether the group it defines is MF, and impossible even to enumerate the presentations of MF groups, or those of non-MF groups.
3c2b1886156d	75		abstract		formalized	GroupApproximation.Manuscript.MFRecognition.Certificates.isOperatorMF_iff_forall_exists_printedFiniteCertificate GroupApproximation.MFRecognitionPi02.isOperatorMF_iff_forall_exists_MFChecker GroupApproximation.MFRecognitionPi02.isOperatorMF_iff_forall_openAnswers GroupApproximation.CodedMicrostateEncoding.MFAnswerCertificate	A presentation defines an MF group if and only if, for every accuracy, every finite word challenge has either a finite word-problem witness or an explicitly coded rational unitary microstate with decidable norm certificates.
675d05a8d993	75		abstract		formalized	GroupApproximation.Manuscript.MFRecognition.Preliminaries.PrintedComputableCompilerConstruction GroupApproximation.Manuscript.MFRecognition.Preliminaries.manuscriptComputableCompilerConstruction	We also construct, computably from any program, a finite presentation that defines an MF group if and only if the program halts on infinitely many inputs.
f2c07c12d905	75		abstract		formalized	GroupApproximation.Manuscript.MFRecognition.Preliminaries.PrintedCompilerBranches GroupApproximation.Manuscript.MFRecognition.Preliminaries.manuscriptCompilerBranches	If the program halts on only finitely many inputs, the presented group contains the finitely presented non-MF group of~\cite[Theorem~C]{NonMF}; if it halts on infinitely many inputs, the group is MF by a permanence theorem for HNN extensions whose edge isomorphism is implemented by a unitary of a norm matrix corona.
cff73e6439ba	95				structural		\draftnotice
b60430c5e04b	99	Introduction			attribution		Not every countable group is MF: \emph{Non-MF Groups}~\cite{NonMF} constructs a finitely generated simple group $H=\EL_{12}(L_{\F_2}(1,2))$ with property~\textup{(T)} such that every homomorphism from $H$ to an MF group is trivial. We turn to the recognition problem for finitely presented groups.
745abbb0ae8f	105	Introduction	mainthm	thm:recognition	formalized	GroupApproximation.Manuscript.MFRecognition.Recognition.mfPresentations_pi02Complete GroupApproximation.Manuscript.MFRecognition.Recognition.nonMFPresentations_sigma02Complete GroupApproximation.Manuscript.MFRecognition.Recognition.manuscriptRecognition	Deciding whether a finite presentation defines an MF group is $\Pi^0_2$-complete, and the complementary problem is $\Sigma^0_2$-complete.
87e2eeb75211	105	Introduction	mainthm	thm:recognition	formalized	GroupApproximation.Manuscript.MFRecognition.Recognition.mfPresentations_not_computable GroupApproximation.Manuscript.MFRecognition.Recognition.no_mfPresentations_decider GroupApproximation.Manuscript.MFRecognition.Recognition.mfPresentations_not_re GroupApproximation.Manuscript.MFRecognition.Recognition.nonMFPresentations_not_re	In particular, it is impossible to construct an algorithm that decides from a finite presentation whether the group it defines is MF, or even one that enumerates the presentations of MF groups or those of non-MF groups.
568d02e21fe6	105	Introduction	mainthm	thm:recognition	formalized	GroupApproximation.Manuscript.MFRecognition.Recognition.exists_computable_mf_family GroupApproximation.Manuscript.MFRecognition.Recognition.manuscriptRecognition	There is a computable map $e\mapsto\widehat R_e$ such that $\widehat R_e$ presents an MF group if and only if the $e$-th partial computable function has infinite domain.
23274498d645	149	Introduction		thm:recognition	definition	GroupApproximation.MFRecognitionPi02.MFChecker GroupApproximation.MFRecognitionPi02.primrec_MFChecker	Encode a finite challenge as a pair $(W,k)$, where $W$ is a finite list of words and $k$ is a reciprocal precision index.
842250d4618e	149	Introduction		thm:recognition	definition	GroupApproximation.MFRecognitionPi02.MFChecker GroupApproximation.MFRecognitionPi02.exists_answerCheck_iff	An answer either supplies a word of $W$ together with a finite word-problem search witness proving that it is trivial, or supplies Gaussian-rational unitary matrices for the generators together with finite certificates that every relator has norm defect less than $1/(k+1)$ and every word of $W$ has norm displacement greater than $1/3$.
be588d1071d6	149	Introduction		thm:recognition	formalized	GroupApproximation.Manuscript.MFRecognition.Certificates.printedFiniteCertificate_primrec GroupApproximation.MFRecognitionPi02.primrec_MFChecker GroupApproximation.MFRecognitionPi02.primrec_answerCheck GroupApproximation.MFRecognitionPi02.primrec_matrixAnswerCheck GroupApproximation.MFRecognitionPi02.primrecPred_matrixAnswerValid GroupApproximation.CodedMicrostateEncoding.primrec_voidAnswerCheck	All checks are primitive recursive.
