# Sentence assignments for simple_kazhdan_sofic_group.tex.
# key<TAB>status<TAB>decls<TAB>note
# Derived from metadata/sk-census-rows/*.tsv by scripts/sk_sentence_census.py --merge; do not edit.
562e5e07a357	structural		ms-intro-3 @9047d0d3c: "Can an infinite simple group with property (T) be hyperlinear?" The question; its answer is ca70bdd27b0c. [rows/ms-intro-3]
5c1db38e8d0c	attribution		ms-intro-3 @9047d0d3c: Brown 2001, embeddings into unitary groups of R^omega-embeddable McDuff factors [S11, Question 7]; quoted verbatim in Palomar/Pestov91Challenge.lean. [rows/ms-intro-3]
ca70bdd27b0c	partial	GroupApproximation.SimpleKazhdanSofic.printedBrownOzawaPestovAnswer GroupApproximation.SimpleKazhdanSofic.printedGXAnswersBrownOzawaPestov_of_main GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_isMinimal GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_infinite	ms-intro-3 @9047d0d3c: "The groups below answer all three forms positively." Hyperlinear (Ozawa) and sofic (Pestov) forms: the ToeplitzAnswer carriers (LANDED 3a92eb17b). Brown's McDuff form is subsection "Brown's formulation" (OA lanes oa-mcduff, oa-ozawa71), not yet carried. [rows/ms-intro-3]
c85748f7d742	definition	GroupApproximation.SimpleKazhdanSofic.subshiftHomeo GroupApproximation.SimpleKazhdanSofic.IsMinimal GroupApproximation.SimpleKazhdanSofic.R GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain	ms-intro-3 @9047d0d3c: thm:main setting: X a Mathlib Subshift A Z over a finite discrete alphabet, minimal (IsMinimal), infinite (Infinite S.carrier), shift (T x)_n = x_{n+1} (subshiftHomeo), LC(X,F_2) inside R = ClopenCrossedProduct (subshiftHomeo S) (ZMod 2). Setting LANDED f61392374; PrintedSimpleKazhdanSoficMain (ct-two-ended, LANDED bf15b32cf) binds exactly these objects. [rows/ms-intro-3]
0597f441dcca	structural		ms-intro-3 @9047d0d3c: connective "Then" of thm:main. [rows/ms-intro-3]
c1c1f14f5a22	definition	GroupApproximation.SimpleKazhdanSofic.G GroupApproximation.SimpleKazhdanSofic.R	ms-intro-3 @9047d0d3c: display G_X = EL_3(LC(X,F_2) x_T Z): G S := elementaryGroup (Fin 3) (R S); Setting LANDED f61392374. [rows/ms-intro-3]
65cb2a78b690	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: thm:main l.62-63, infinite, f.g., simple, (T), for every n >= 3 (n = 3 is G_X). Checked against the printed statement; endpoint over four named pieces, ct-two-ended LANDED bf15b32cf. [rows/ms-intro-3]
314f2d26a6bd	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces GroupApproximation.SimpleKazhdanSofic.PrintedMarkedLimitExpanders GroupApproximation.SimpleKazhdanSofic.IsMarkedLimit GroupApproximation.SimpleKazhdanSofic.IsExpanderFamily	ms-intro-3 @9047d0d3c: thm:main l.63-65: marked limit of finite simple SL_{3N}(F_2) (IsSimpleGroup of SpecialLinearGroup (Fin n x Fin N) (ZMod 2)), common generator labels, word-by-word eventual agreement; expanders = finite labels, orders -> infinity, uniform eps edge expansion. ct-two-ended LANDED bf15b32cf. [rows/ms-intro-3]
8e2fecfd278a	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: thm:main l.65-67, LEF, sofic, hyperlinear: clauses of PrintedSimpleKazhdanSoficMain (ct-two-ended, LANDED bf15b32cf). [rows/ms-intro-3]
62a22eeef657	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: thm:main l.67-68, the same for EL_n, n >= 3, with SL_{nN}(F_2): PrintedSimpleKazhdanSoficMain quantifies over n >= 3 with SpecialLinearGroup (Fin n x Fin (N l)) (ZMod 2) (ct-two-ended, LANDED bf15b32cf). [rows/ms-intro-3]
