LINE:1710	definition	GroupApproximation.ChainCore.sectionStep GroupApproximation.ChainCore.sectionStep_succ GroupApproximation.ChainCore.nearOrbit	"Starting with C_0 = ∅, put C_i = C_{i-1} ∪ (U_i \ ⋃_{|j|<r} T^j C_{i-1})": the printed recursion (cover indexed from 0). LANDED e4a681074 (Dynamics/ReturnSection).
LINE:1716	formalized	GroupApproximation.ChainCore.isClopen_sectionStep GroupApproximation.ChainCore.disjoint_sectionStep GroupApproximation.ChainCore.subset_nearOrbit_sectionStep GroupApproximation.ChainCore.exists_isReturnSection GroupApproximation.ChainCore.IsReturnSection	"Then C = C_m is clopen, separated from its first r-1 translates, and X = ⋃_{|j|<r} T^j C": the three fields of IsReturnSection, proved for sectionStep m. LANDED e4a681074 (Dynamics/ReturnSection).
LINE:1717	formalized	GroupApproximation.ChainCore.IsReturnSection.returnGapsIn GroupApproximation.ChainCore.IsReturnSection.exists_return GroupApproximation.ChainCore.le_returnTime GroupApproximation.ChainCore.returnTime_le GroupApproximation.ChainCore.returnSectionStatement_holds	"Its return gaps lie in [r, 2r-1]: a larger gap would have a middle point at distance at least r from every return": the middle point T^r x meets some T^j C with |j| < r (exists_return), separation gives the lower bound; closed endpoint returnSectionStatement_holds : ReturnSectionStatement (#audit_closed_axioms). LANDED e4a681074.
LINE:1719	formalized	GroupApproximation.ChainCore.isReturnSection_univ_one GroupApproximation.ChainCore.IsReturnSection.eq_univ_of_one	"For r = 1 simply take C = X". LANDED e4a681074 (Dynamics/ReturnSection).
LINE:1721	formalized	GroupApproximation.ChainCore.returnCell GroupApproximation.ChainCore.isClopen_returnCell GroupApproximation.ChainCore.firstReturnHomeomorph GroupApproximation.ChainCore.firstReturnHomeomorph_apply GroupApproximation.ChainCore.firstReturnStatement_holds	"Let C_h be the clopen first-return-time cells and S_C the first-return homeomorphism": cells clopen, S_C x = T^{h(x)} x a homeomorphism of C (inverse = first return of T⁻¹); closed endpoint firstReturnStatement_holds : FirstReturnStatement. LANDED e4a681074 (Dynamics/FirstReturnMap).
LINE:1722	definition	GroupApproximation.ChainCore.ReturnTowerUnits.Base GroupApproximation.ChainCore.returnTowerUnits_p	"Put p_C = 1_C and P_C = p_C R_X p_C": the base idempotent of the tower is coeff (charFn C), and Base is the corner MFQuotientUnits.Corner R τ.p. LANDED 28cd138ca, 7b0a3343c.
LINE:1727	definition	GroupApproximation.ChainCore.towerLevel GroupApproximation.ChainCore.towerA GroupApproximation.ChainCore.towerB GroupApproximation.ChainCore.isClopen_towerLevel	"For 0 ≤ i < 2r-1 put D_i = ⋃_{h>i} C_h, a_i = u^i 1_{D_i}, b_i = 1_{D_i} u^{-i}": D_i spelled {x ∈ C | i < returnTime x}. LANDED 7b0a3343c (Dynamics/ReturnTowerCrossedProduct).
LINE:1731	formalized	GroupApproximation.ChainCore.towerB_mul_towerA_of_ne GroupApproximation.ChainCore.towerB_mul_towerA_self GroupApproximation.ChainCore.sum_towerA_mul_towerB GroupApproximation.ChainCore.exists_mem_image_towerLevel GroupApproximation.ChainCore.eq_of_mem_image_towerLevel GroupApproximation.ChainCore.returnTowerUnitsStatement_holds	"The tower partition gives b_i a_j = 0 for i ≠ j, b_i a_i = 1_{D_i} and ∑_i a_i b_i = 1": the partition X = ⊔_{i<2r-1} T^i D_i, then the three identities; closed endpoint returnTowerUnitsStatement_holds : ReturnTowerUnitsStatement. LANDED 7b0a3343c.
LINE:1732	formalized	GroupApproximation.ChainCore.ReturnTowerUnits.toMatrix GroupApproximation.ChainCore.ReturnTowerUnits.cornerEquiv GroupApproximation.ChainCore.returnTowerUnits	"Thus R_X is a unital corner of M_{2r-1}(P_C), via x ↦ (b_i x a_j)_{ij}": cornerEquiv : R ≃+* E M_N(P_C) E, E = toMatrix 1, for any ReturnTowerUnits system; applied to returnTowerUnits k hC hr. LANDED 28cd138ca, 7b0a3343c.
LINE:1734	formalized	GroupApproximation.ChainCore.towerLevel_of_lt GroupApproximation.ChainCore.ReturnTowerUnits.phi GroupApproximation.ChainCore.ReturnTowerUnits.phi_apply GroupApproximation.ChainCore.ReturnTowerUnits.phi_injective	"For i < r we have D_i = C, so the first r levels give the injection Φ : M_r(P_C) → R_X, Φ(A) = ∑_{i,j<r} a_i A_ij b_j": Φ a non-unital ring hom, injective via b_k Φ(A) a_l = A_kl. LANDED 28cd138ca, 7b0a3343c.
LINE:1739	formalized	GroupApproximation.ChainCore.ReturnTowerUnits.unitizeGL GroupApproximation.ChainCore.ReturnTowerUnits.unitizeGL_injective GroupApproximation.ChainCore.ReturnTowerUnits.flatUnitizeGL GroupApproximation.ChainCore.ReturnTowerUnits.flatUnitizeGL_injective	"Unitization embeds GL_{nr}(P_C) into GL_n(R_X)": g ↦ (1 - Φ(1)) I_n + Φ_n(g) after block flattening GL_{n×r}(P_C) ≅ GL_n(M_r(P_C)). LANDED 28cd138ca.
LINE:1740	formalized	GroupApproximation.ChainCore.ReturnTowerUnits.unitizeGL_elementaryUnit GroupApproximation.ChainCore.ReturnTowerUnits.map_elementaryGroup_le GroupApproximation.ChainCore.ReturnTowerUnits.map_flat_elementaryGroup_le	"For n ≥ 2, block elementary flattening puts the image of EL_{nr}(P_C) inside EL_n(R_X)": for nontrivial n, via elementaryBlockGroup_map. LANDED 28cd138ca.
LINE:1709	formalized	GroupApproximation.ChainCore.exists_separated_clopen_cover_abs GroupApproximation.ChainCore.exists_separated_clopen_cover GroupApproximation.ChainCore.exists_isClopen_separated	"Choose a finite clopen cover U_1, ..., U_m with U_i ∩ T^j U_i = ∅ for 0 < |j| < r": clopen neighbourhoods avoiding the finitely many T^j x (0 < j < r, no short periods), a finite subcover by compactness, and both signs of j (exists_separated_clopen_cover_abs). LANDED cc54707b9 (Dynamics/ReturnCells), e4a681074 (Dynamics/ReturnSection).
