19abb698ab4a	structural	GroupApproximation.Manuscript.NonMFSentences.HeadlineCitationSentences.manuscriptSentence_finitelyGeneratedGivesPropertyT GroupApproximation.Manuscript.OneSidedMFRadical.RankFourEndpoint.hasKazhdanPropertyT_viaEJZ GroupApproximation.Manuscript.NonMFSentences.EJZCitationSentences.manuscriptSentence_universalRingBothGroupsPropertyT	audit-onesided-1: added the unconditional EJZ endpoint (C f.g., EL_3(C) has (T))
9dbe7e587681	formalized	GroupApproximation.Manuscript.NonMFSentences.OneSidedSentences.manuscriptSentence_twoCopiesSetup GroupApproximation.RankDescent.ofFull GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_twoCopiesPutEAndChooseWitnesses	audit-onesided-1: printed hypothesis R(1-st)R=R; es=te=0 and witnesses a_j,b_j with sum a_j e b_j=1
8782d1207725	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_intertwineEntries GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_intertwineOneEntry	audit-onesided-1: both matrices equal u+E_ij(sa), plus sa.ts=sa and sa.te.t^k=0
ade7fe9335db	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_compressorMatrix GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_centralMark GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_universalCompressionCellDefect	audit-onesided-1: exists u,c in EL_4(C) with uLu^-1<=L, c in C_G(L), [ucu^-1,e23(1)]=e13(e) in D_G(L)
ec86ceff1bf1	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_normalClosureOfDefect GroupApproximation.Manuscript.NonMF.AuditOneSided1.printedN GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_normalClosureOfD	audit-onesided-1: N defined literally as normal closure of d in EL_4(C); d in N
eb7d6fe7334e	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_fullnessRootRewrite GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_e42OneMemN	audit-onesided-1: e42(1)=e42(t1 e s1) and e42(1) in N via the two printed Steinberg commutators
ad1cfff561d3	formalized	GroupApproximation.ElementaryWeyl.elGen_one_mem_of_ne GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_unitRootsMemN	audit-onesided-1: e_ij(1) in N for all i!=j, for the printed N
8830867a92de	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_steinbergSpreadsCoefficients GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_steinbergSpreadsInN	audit-onesided-1: [e_ij(1),e_jk(r)]=e_ik(r) in N for the printed N
c0333a70aec6	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_defectIsEverything GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_normalClosureIsEverything	audit-onesided-1: printed N = top and D_G(L) = top over C
45f5c651c852	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_twoCopies GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_rankTwoChooseTwoCopies	audit-onesided-1: from ts=1 and R(1-st)R=R, choose v,w with w_i v_j=delta_ij
2d95c1b6384d	formalized	GroupApproximation.Manuscript.OneSidedMFRadical.FullDefectRingSentences.manuscriptSentence_universalProperty GroupApproximation.Manuscript.NonMF.AuditOneSided1.manuscriptSentence_universalRingHomInducesEL4	audit-onesided-1: ring hom C->R with s_i->v_i, t_i->w_i, and induced EL_4(C)->EL_4(R) acting rootwise
