buried-conditional GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.separatingPathRemovalInput_of_pendant	discharged-by	GroupApproximation.GGT.BaselineDischarge.separatingPathRemovalInput_closed	hpendant supplied by the closed pendantPathRemovalInput (GGT/BaselineDischarge/SurgeryPieces, #audit_closed_axioms)
buried-conditional GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.chainRespellInput_of_pieces	discharged-by	GroupApproximation.GGT.BaselineDischarge.chainRespellInput_closed	hinsert = cornerInsertionInput, hremove = separatingPathRemovalInput_closed (SurgeryPieces, #audit_closed_axioms)
buried-conditional GroupApproximation.GGT.VanKampen.osinLemma94CuttingChainsInput_of_pieces	discharged-by	GroupApproximation.GGT.BaselineDischarge.osinLemma94CuttingChainsInput_closed	hrespell = chainRespellInput_closed, hpendant = pendantPathRemovalInput, hword = quasiGeodesicRespellInput (SurgeryPieces, #audit_closed_axioms)
buried-conditional GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.not_leaf_of_dartMinimal	discharged-by	GroupApproximation.GGT.BaselineDischarge.not_leaf_of_dartMinimal_closed	closed form over the configuration only, hpendant = pendantPathRemovalInput (SurgeryPieces, #audit_axioms)
buried-conditional GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.alpha_not_mem_of_dartMinimal	discharged-by	GroupApproximation.GGT.BaselineDischarge.alpha_not_mem_of_dartMinimal_closed	closed form over the configuration only, hpendant = pendantPathRemovalInput (SurgeryPieces, #audit_axioms)
buried-conditional GroupApproximation.GGT.VanKampen.osinLemma94CaseTwo_false	discharged-by	GroupApproximation.GGT.BaselineDischarge.osinLemma94CaseTwo_false_closed	closed form over the configuration only, hinsert = separatedCornerInsertionInput (SurgeryPieces, #audit_axioms)
carrier-data GroupApproximation.GGT.VanKampen.OsinLemma94CaseOneInput	discharged-by	GroupApproximation.GGT.BaselineDischarge.osinLemma94CaseOneInput_closed	osinLemma94CaseOneInput_of_walk osinLemma94CaseOneWalk osinLemma94CaseOneSameCell, both closed (SurgeryPieces, #audit_closed_axioms)
open-predicate GroupApproximation.GGT.VanKampen.OsinLemma94PlanarPolygons.unbound_lt	discharged-by	GroupApproximation.GGT.BaselineDischarge.planarPolygons_unbound_lt_closed	hmetric supplied at every threshold by the closed osinLemma94AntiparallelMetric; binds only the hyperbolic regime, 0 < lambda, 0 <= c and the polygons (GGT/BaselineDischarge/PlanarClosedForms, #audit_axioms)
carrier-data GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.CellArcsQuasiGeodesic	discharged-by	GroupApproximation.GGT.BaselineDischarge.cellArcsQuasiGeodesic_of_cCondition	per-family producer from the closed osinLemma94CellArcsInput_holds over OsinCCondition and 0 <= c (PlanarClosedForms, #audit_axioms)
carrier-data GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.BoundaryArcsQuasiGeodesic	discharged-by	GroupApproximation.GGT.BaselineDischarge.boundaryArcsQuasiGeodesic_of_nonneg	per-family producer from the closed osinLemma94BoundaryArcsInput over 0 <= c (PlanarClosedForms, #audit_axioms)
carrier-data GroupApproximation.GGT.VanKampen.GloballyDistinguishedSectionFamily.CuttingChainsQuasiGeodesic	discharged-by	GroupApproximation.GGT.BaselineDischarge.cuttingChainsQuasiGeodesic_of_dartMinimal GroupApproximation.GGT.BaselineDischarge.osinLemma94CuttingChainsInput_closed	per-family producer from osinLemma94CuttingChainsInput_closed over lambda <= 1, 0 <= c, DartMinimal (PlanarClosedForms, #audit_axioms)
open-predicate GroupApproximation.GGT.VanKampen.OsinLemma94PinchedQuadrilateralStatement.false_of_quadrilateral	discharged-by	GroupApproximation.GGT.BaselineDischarge.false_of_quadrilateral_closed	no-gap form from RealizedSectionFamily.false_of_quadrilateral_face with S.label_admissible, S.weight_maximal; drops h and hleast (PlanarClosedForms, #audit_axioms); the gapped carrier OsinLemma94PinchedQuadrilateralStatement stays open
buried-conditional GroupApproximation.GGT.VanKampen.OsinLemma94PinchedQuadrilateralStatement.false_of_quadrilateral	discharged-by	GroupApproximation.GGT.BaselineDischarge.false_of_quadrilateral_closed	as the open-predicate row: same closed no-gap form, no Statement hypothesis
