CANDIDATES AAttAATTAtAtaTT n=18 degrees=[3, 4, 5, 6, 8, 9, 10, 12, 15, 18, 25, 27]
DONE AAttAATTAtAtaTT | Z/3 r=2 k=3 b1=1 chars=1 monic=0 cert=False
DONE AAttAATTAtAtaTT | F_2^2 theta k=4 b1=1 chars=1 monic=0 cert=False
DONE AAttAATTAtAtaTT | Z/5 r=1 k=5 b1=1 chars=1 monic=0 cert=False
MONIC AAttAATTAtAtaTT | Z/5 r=2 k=5 b1=2 c=[0, 3, -3, 0, 0, 4, 9, 0, 0, 7] delta=[-1, 1, -3, 1, -2, -2, 0, -3, 2, -6, 6, -7, 4, -2, -3, 4, -4, 0, 2, 2, 1, 2, 2, -1, 3, 0, 2, 1, -2, 3, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 k=5 b1=2 c=[0, -2, 2, 0, 0, -5, -13, 0, 7, -14] delta=[1, -1, 1, -1, 0, 1, 2, -1, -2, 1, 1, 2, -2, 2, 1, 2, 1, -4, 2, 3, -1, 0, 0, -3, 3, 4, -6, 2, 1, 2, -4, -1, -4, 3, 4, 0, -4, -1, -1, -1, 4, -3, -1, 1, 0, -2, 1, -2, 0, 3, -2, -1, 0, 0, 0, 1, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 k=5 b1=2 c=[0, 10, -10, 0, 0, 11, 23, 0, 7, 14] delta=[-1, 1, -3, 1, -1, -3, 3, -3, 3, 1, -1, 2, 0, -2, 0, 0, -6, 7, -7, 5, 0, 0, 3, -3, 2, -3, 0, -2, -1, 0, 2, 0, 3, 2, -1, -1, 0, -4, -2, 1, 0, 0, 4, 2, 0, 2, -2, 0, 1, -3, 0, 1, -1, 4, -1, 0, 1, 0, -2, 2, -4, 3, 1, -3, 3, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 k=5 b1=2 c=[0, 5, -5, 0, 0, 2, 1, 0, 14, -7] delta=[-1, 1, -2, 2, -1, 1, -3, 2, -3, 0, 1, -2, 0, -1, 1, -5, 3, -2, -2, 3, 2, -8, 3, -1, 1, 4, 0, -4, 5, -1, -3, 1, 5, 1, 1, 0, -2, 0, 1, 2, 0, 1]
DONE AAttAATTAtAtaTT | Z/5 r=2 k=5 b1=2 chars=8 monic=4 cert=False
DONE AAttAATTAtAtaTT | Z/3 r=2 x chi mod 2 k=6 b1=1 chars=1 monic=0 cert=False
DONE AAttAATTAtAtaTT | F_2^2 theta x chi mod 2 k=8 b1=1 chars=1 monic=0 cert=False
DONE AAttAATTAtAtaTT | Z/3 r=2 x chi mod 3 k=9 b1=1 chars=1 monic=0 cert=False
DONE AAttAATTAtAtaTT | Z/9 r=5 k=9 b1=1 chars=1 monic=0 cert=False
DONE AAttAATTAtAtaTT | Z/5 r=1 x chi mod 2 k=10 b1=1 chars=1 monic=0 cert=False
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 5, 3, -8, 0, 0, 0, 0, 0, 0, 0, -2, 0, 2, -3, 1, 0, 0, 7, 0] delta=[-1, 3, -5, 7, -13, 11, -7, 7, -10, -3, 2, -4, 8, -6, 0, -28, 39, -24, 26, -38, 67, -55, 4, 41, 17, -14, -32, 79, -74, 47, -19, 51, -81, 24, -9, 0, -2, -4, -24, -11, 23, 0, -16, 6, 8, 2, -4, 8, 2, 0, 1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -19, -10, 29, 0, 0, 0, 0, 0, 0, 0, 2, 0, -2, 3, -1, 0, 7, -14, 0] delta=[1, 1, 0, -2, 1, -1, 0, 0, 0, 0, 4, 7, -3, 2, 0, -5, -2, -3, 0, 0, 0, 8, 11, -7, 10, 15, -21, -5, -10, -1, -7, -7, 8, 14, 6, 24, 13, -23, -11, -13, -8, -25, -18, -9, 30, 46, 55, -21, -14, -27, -12, -13, -44, -19, -49, 92, 61, 76, -40, -15, -39, -13, -31, -53, -19, -26, 128, 50, 48, -32, -28, -25, -14, -35, -42, -52, 62, 95, 45, 4, -19, -42, -7, -18, -26, -19, -48, 95, 23, 57, -31, 0, -31, -4, -10, -19, -28, 16, 41, 9, 23, -18, -7, -5, -5, -2, -6, -18, 14, 15, 6, 3, -1, -11, 1, -1, 0, -5, 4, -2, 1, 6, -4, 5, -5, 0, 0, 0, 0, -2, 6, -8, 7, -5, 3, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 1, 2, -3, 0, 0, 0, 0, 0, 0, 0, -6, 0, 6, -9, 3, 0, 7, 14, 0] delta=[-1, 1, 0, 2, -3, -4, 2, 3, 0, -1, -10, 5, -8, 2, 7, -10, -3, -17, -1, 21, -22, 12, -17, -26, 30, -9, 25, -3, -42, 28, -2, 6, 76, -66, 56, -78, 40, 86, -70, 93, -96, 28, 20, -35, 93, -64, -20, 10, -19, 35, -20, -36, 39, -37, 4, 15, -33, 28, -18, -4, 13, -16, 11, -2, -2, 4, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, -13, -5, 18, 0, 0, 0, 0, 0, 0, 0, -6, 0, 6, -9, 3, 0, 14, 7, 0] delta=[1, 2, 2, 6, 0, 6, 3, 3, 8, 16, 3, 16, 6, -1, 3, 5, 19, -21, 54, -53, 30, -33, -27, 3, -45, 7, -13, -55, 43, -91, 45, -30, -4, 25, -61, 43, -29, 36, 10, 3, 14, -13, 22, 11, 10, 7, 3, 2, 0, 7, 3, -1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 17, -1, -16, 0, 0, 0, 0, 0, 0, 0, 10, 0, -3, 15, 2, 7, -14, -7, 0] delta=[-1, -4, -2, 4, -3, -6, 2, 1, -12, -7, 7, -2, -6, -8, -8, 18, 9, -10, -19, 8, -11, -11, 48, 29, -9, -28, 16, -8, -6, 41, 42, -31, -47, 26, 32, 8, -23, 5, 16, -14, -18, 7, 16, -8, -11, -4, 4, -11, -2, -6, 5, -5, -2, -1, 0, 0, -1, 1]
MONIC AAttAATTAtAtaTT | Z/5 r=2 x chi mod 2 k=10 b1=3 c=[0, 22, 2, -24, 0, 0, 0, 0, 0, 0, 0, 8, 0, -1, 12, 3, 7, -14, 0, 0] delta=[-1, -1, 0, 2, 3, -2, -6, -5, 4, 4, 2, -4, -3, 7, -18, -1, 9, 7, 3, -32, 4, 19, 12, -16, -22, 19, 2, 12, -28, 12, 9, -7, -23, -24, 73, 12, -19, -51, -22, 91, -4, -17, -14, 12, 18, -9, -32, 44, 55, -37, -24, -41, 71, 58, -66, -29, -15, 45, 10, -33, -14, 19, 4, -22, 2, -16, 35, -4, -22, 8, -15, 23, -3, -10, 4, -2, 4, -2, 2, 0, -1, -5, 2, 2, -4, 3, -2, 0, 1, -1, 1]
