CANDIDATES AAttATaTAttaaTT n=70 degrees=[3, 4, 6, 8, 9, 12, 13, 15, 16, 17, 18, 20, 23, 24, 25, 26, 27, 29, 34, 36, 39, 43, 45, 46, 49, 50, 51, 52, 53, 54, 58, 61, 65, 68, 69, 75, 78, 81, 85, 86, 87, 92, 98, 100, 102, 106, 108]
DONE AAttATaTAttaaTT | Z/3 r=2 k=3 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_2^2 theta k=4 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/3 r=2 x chi mod 2 k=6 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_2^2 theta x chi mod 2 k=8 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/3 r=2 x chi mod 3 k=9 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/9 r=2 k=9 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_2^2 theta x chi mod 3 k=12 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/3 r=2 x chi mod 4 k=12 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/13 r=11 k=13 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/3 r=2 x chi mod 5 k=15 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_2^2 theta x chi mod 4 k=16 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/17 r=10 k=17 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/17 r=13 k=17 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/3 r=2 x chi mod 6 k=18 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/9 r=2 x chi mod 2 k=18 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_2^2 theta x chi mod 5 k=20 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/23 r=3 k=23 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/23 r=5 k=23 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_2^2 theta x chi mod 6 k=24 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_5^2 theta^-1 k=25 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/13 r=11 x chi mod 2 k=26 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/9 r=2 x chi mod 3 k=27 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/27 r=11 k=27 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/29 r=13 k=29 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/29 r=26 k=29 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/17 r=10 x chi mod 2 k=34 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/17 r=13 x chi mod 2 k=34 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/9 r=2 x chi mod 4 k=36 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/13 r=11 x chi mod 3 k=39 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/43 r=4 k=43 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/43 r=25 k=43 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/9 r=2 x chi mod 5 k=45 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/23 r=3 x chi mod 2 k=46 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/23 r=5 x chi mod 2 k=46 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_7^2 theta^-1 k=49 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | F_5^2 theta^-1 x chi mod 2 k=50 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/17 r=10 x chi mod 3 k=51 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/17 r=13 x chi mod 3 k=51 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/13 r=11 x chi mod 4 k=52 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/53 r=33 k=53 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/53 r=38 k=53 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/9 r=2 x chi mod 6 k=54 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/27 r=11 x chi mod 2 k=54 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/29 r=13 x chi mod 2 k=58 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/29 r=26 x chi mod 2 k=58 b1=1 chars=1 monic=0 cert=False
DONE AAttATaTAttaaTT | Z/61 r=8 k=61 b1=1 chars=1 monic=0 cert=False
