  HIT quotient d=3 (-1, 0, (1, 1, 1)) * (-1, 1, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, 1)) * (0, 0, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, 1)) * (0, 1, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, 1)) * (1, 0, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, 1)) * (1, 1, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, 1)) * (2, 0, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, -1)) * (-1, 1, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, -1)) * (0, 0, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, -1)) * (0, 1, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, -1)) * (1, 0, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, -1)) * (1, 1, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, 1, -1)) * (2, 0, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, 1)) * (-1, 1, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, 1)) * (0, 0, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, 1)) * (0, 1, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, 1)) * (1, 0, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, 1)) * (1, 1, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, 1)) * (2, 0, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, -1)) * (-1, 1, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, -1)) * (0, 0, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, -1)) * (0, 1, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, -1)) * (1, 0, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, -1)) * (1, 1, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (1, -1, -1)) * (2, 0, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, 1)) * (-1, 1, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, 1)) * (0, 0, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, 1)) * (0, 1, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, 1)) * (1, 0, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, 1)) * (1, 1, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, 1)) * (2, 0, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, -1)) * (-1, 1, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, -1)) * (0, 0, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, -1)) * (0, 1, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, -1)) * (1, 0, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, -1)) * (1, 1, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, 1, -1)) * (2, 0, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, 1)) * (-1, 1, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, 1)) * (0, 0, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, 1)) * (0, 1, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, 1)) * (1, 0, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, 1)) * (1, 1, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, 1)) * (2, 0, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, -1)) * (-1, 1, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, -1)) * (0, 0, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, -1)) * (0, 1, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, -1)) * (1, 0, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, -1)) * (1, 1, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 0, (-1, -1, -1)) * (2, 0, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, 1)) * (-1, 0, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, 1)) * (0, 0, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, 1)) * (0, 1, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, 1)) * (1, 0, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, 1)) * (1, 1, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, 1)) * (2, 1, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, -1)) * (-1, 0, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, -1)) * (0, 0, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, -1)) * (0, 1, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, -1)) * (1, 0, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, -1)) * (1, 1, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, 1, -1)) * (2, 1, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, 1)) * (-1, 0, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, 1)) * (0, 0, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, 1)) * (0, 1, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, 1)) * (1, 0, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, 1)) * (1, 1, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, 1)) * (2, 1, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, -1)) * (-1, 0, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, -1)) * (0, 0, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, -1)) * (0, 1, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, -1)) * (1, 0, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, -1)) * (1, 1, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (1, -1, -1)) * (2, 1, (-1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, 1)) * (-1, 0, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, 1)) * (0, 0, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, 1)) * (0, 1, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, 1)) * (1, 0, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, 1)) * (1, 1, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, 1)) * (2, 1, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, -1)) * (-1, 0, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, -1)) * (0, 0, (-1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, -1)) * (0, 1, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, -1)) * (1, 0, (1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, -1)) * (1, 1, (-1, 1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, 1, -1)) * (2, 1, (1, 1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, -1, 1)) * (-1, 0, (1, -1, 1))^-1
  HIT quotient d=3 (-1, 1, (-1, -1, 1)) * (0, 0, (-1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, -1, 1)) * (0, 1, (1, -1, -1))^-1
  HIT quotient d=3 (-1, 1, (-1, -1, 1)) * (1, 0, (1, -1, 1))^-1
