== radu-valuations-check.py (python3.11 on MSI; exact tr^2/det in F = Q(w), then 2-adic valuations)
== q: the horizontal prime (v_2(w) = -1); q': the second prime (v_2(w) = +1). g is hyperbolic on a tree iff v(tr^2/det) < 0.
== (lines printed by the invoked invariants script are filtered out)
ab    tr^2/det = 1 + 1/2 w ; v at q (horizontal): -2 ; v at q': 2
bc    tr^2/det = 1 + 1/2 w ; v at q (horizontal): -2 ; v at q': 2
ca    tr^2/det = 1 + 1/2 w ; v at q (horizontal): -2 ; v at q': 2
xy    tr^2/det = 3/2 + 1 w ; v at q (horizontal): 2 ; v at q': -1
yz    tr^2/det = 3/2 + -1 w ; v at q (horizontal): 0 ; v at q': -1
zx    tr^2/det = 0 + 0 w ; v at q (horizontal): >= 77 ; v at q': >= 78
ax    tr^2/det = 0 + 0 w ; v at q (horizontal): >= 77 ; v at q': >= 78
ay    tr^2/det = 0 + 0 w ; v at q (horizontal): >= 77 ; v at q': >= 78
az    tr^2/det = 2 + 1 w ; v at q (horizontal): -1 ; v at q': 3
bx    tr^2/det = 0 + 0 w ; v at q (horizontal): >= 77 ; v at q': >= 78
by    tr^2/det = 2 + -1 w ; v at q (horizontal): -1 ; v at q': 2
bz    tr^2/det = 2 + 1 w ; v at q (horizontal): -1 ; v at q': 3
cx    tr^2/det = 2 + 0 w ; v at q (horizontal): 1 ; v at q': 1
cy    tr^2/det = 2 + -1 w ; v at q (horizontal): -1 ; v at q': 2
cz    tr^2/det = 2 + 0 w ; v at q (horizontal): 1 ; v at q': 1
xyz   tr^2/det = 1 + 0 w ; v at q (horizontal): 0 ; v at q': 0
abc   tr^2/det = 3/2 + -1/4 w ; v at q (horizontal): -3 ; v at q': 4
axby  tr^2/det = 1/2 + 1/2 w ; v at q (horizontal): -2 ; v at q': -1
DONE3
