META 3 13 1,1,2,1
CELL 0 1 24
STAB 0 1 1 2,1,7,4,5,6,3,10,9,8,12,11,13
STAB 0 1 1 2,1,4,7,13,3,6,12,9,8,10,11,5
STAB 0 1 1 2,1,3,6,5,4,7,12,9,11,10,8,13
STAB 0 1 1 2,1,6,3,13,7,4,10,9,11,12,8,5
STAB 0 1 1 3,7,6,2,9,1,4,8,13,11,12,10,5
STAB 0 1 1 3,7,4,1,9,2,6,12,13,10,8,11,5
STAB 0 1 1 3,7,2,6,5,4,1,12,13,11,8,10,9
STAB 0 1 1 3,7,1,4,5,6,2,8,13,10,12,11,9
STAB 0 1 1 4,6,7,2,9,1,3,11,5,8,12,10,13
STAB 0 1 1 4,6,3,1,9,2,7,12,5,10,11,8,13
STAB 0 1 1 4,6,2,7,13,3,1,12,5,8,11,10,9
STAB 0 1 1 4,6,1,3,13,7,2,11,5,10,12,8,9
STAB 0 1 1 1,2,7,6,5,4,3,11,9,12,8,10,13
STAB 0 1 1 1,2,6,7,13,3,4,8,9,12,11,10,5
STAB 0 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
STAB 0 1 1 1,2,4,3,13,7,6,11,9,10,8,12,5
STAB 0 1 1 6,4,7,1,9,2,3,10,5,12,8,11,13
STAB 0 1 1 6,4,1,7,13,3,2,8,5,12,10,11,9
STAB 0 1 1 6,4,3,2,9,1,7,8,5,11,10,12,13
STAB 0 1 1 6,4,2,3,13,7,1,10,5,11,8,12,9
STAB 0 1 1 7,3,6,1,9,2,4,10,13,12,11,8,5
STAB 0 1 1 7,3,1,6,5,4,2,11,13,12,10,8,9
STAB 0 1 1 7,3,4,2,9,1,6,11,13,8,10,12,5
STAB 0 1 1 7,3,2,4,5,6,1,10,13,8,11,12,9
CELL 1 1 8
STAB 1 1 1 1,2,7,6,5,4,3,11,9,12,8,10,13
STAB 1 1 -1 1,9,7,3,10,4,6,11,2,13,8,5,12
STAB 1 1 1 1,2,6,7,13,3,4,8,9,12,11,10,5
STAB 1 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12
STAB 1 1 -1 1,9,3,7,12,6,4,8,2,13,11,5,10
STAB 1 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
STAB 1 1 -1 1,9,4,6,12,7,3,11,2,5,8,13,10
STAB 1 1 1 1,2,4,3,13,7,6,11,9,10,8,12,5
BOUND 1 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
BOUND 1 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12
CELL 2 1 24
STAB 2 1 -1 2,1,7,4,5,6,3,10,9,8,12,11,13
STAB 2 1 1 2,9,7,3,11,6,4,10,1,13,12,5,8
STAB 2 1 -1 2,1,4,7,13,3,6,12,9,8,10,11,5
STAB 2 1 1 2,9,4,6,11,3,7,12,1,5,10,13,8
STAB 2 1 1 2,9,3,7,8,4,6,12,1,13,10,5,11
STAB 2 1 -1 2,1,3,6,5,4,7,12,9,11,10,8,13
STAB 2 1 1 2,9,6,4,8,7,3,10,1,5,12,13,11
STAB 2 1 -1 2,1,6,3,13,7,4,10,9,11,12,8,5
STAB 2 1 1 1,2,7,6,5,4,3,11,9,12,8,10,13
STAB 2 1 -1 1,9,7,3,10,4,6,11,2,13,8,5,12
STAB 2 1 1 1,2,6,7,13,3,4,8,9,12,11,10,5
STAB 2 1 -1 1,9,6,4,10,3,7,8,2,5,11,13,12
STAB 2 1 -1 1,9,3,7,12,6,4,8,2,13,11,5,10
STAB 2 1 1 1,2,3,4,5,6,7,8,9,10,11,12,13
STAB 2 1 -1 1,9,4,6,12,7,3,11,2,5,8,13,10
STAB 2 1 1 1,2,4,3,13,7,6,11,9,10,8,12,5
STAB 2 1 -1 9,2,7,6,11,3,4,5,1,12,13,10,8
STAB 2 1 1 9,1,7,4,10,3,6,5,2,8,13,11,12
STAB 2 1 -1 9,2,6,7,8,4,3,13,1,12,5,10,11
STAB 2 1 1 9,1,6,3,10,4,7,13,2,11,5,8,12
