eq0_states=93
eq4_states=103
cached_intervals=1548
combined_coordinate_states=446
abstract_presentations=63
carrier=25 words=1516 states=236
carrier=50 words=2820 states=414
carrier=75 words=4328 states=582
carrier=100 words=6116 states=1001
carrier=125 words=7928 states=1150
carrier=150 words=8708 states=1306
carrier=175 words=9984 states=1373
carrier=200 words=11012 states=1390
carrier=225 words=11624 states=1411
carrier=250 words=12252 states=1440
carrier=275 words=13092 states=1534
[2026-08-22T07:02:31.759] error: *** JOB 16683061 ON acn218 CANCELLED AT 2026-08-22T07:02:31 DUE to SIGNAL Terminated ***
