amir-lazarovich-lattice-torsion-is-square-diagonals	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed). It is a reduc	In the Amir–Lazarovich lattices on T_c × X_{O_d}, every torsion element of the colour-preserving part is conjugate to a square diagonal DD', so their simple lattice is torsion-free (and of cd 3) if	B
amir-lazarovich-plus-subgroup-is-perfect	**ESTABLISHED** (lane proof, elementary, not reviewed; no priority claimed).	Abelian quotients of the colour-preserving subgroup of a one-vertex lattice in T × X_L are transducer cocycles; for every Amir–Lazarovich lattice Λ'^+ is perfect, whatever the BMW seed	B
amir-lazarovich-simple-lattices-have-torsion	**ESTABLISHED** (lane proof, not reviewed; route	The finitely presented simple lattices of Amir–Lazarovich in T_c × X_{O_d} are exactly the index-4 colour-preserving subgroups, so they contain involutions and have infinite cohomological dimension	B
binary-self-similar-completions-over-free-bases-have-zero-kh	**ESTABLISHED** (lane proof, not reviewed; no priority claimed). It rests on the import	Every binary Leavitt–Nekrashevych or self-similar completion of a free algebra has vanishing homotopy K-theory, so for those finitely presented hosts the K-gate G3r is purely a nil-term question	T
boone-higman-closed-under-finite-direct-products	**OPEN.** Let `G <= S` and `H <= T` for finitely presented simple groups `S` and	The direct product of two groups that embed in finitely presented simple groups embeds in a finitely presented simple group	BBBB
contracting-rover-nekrashevych-groups-are-f-infinity	**OPEN** as printed; partially settled on main. R. Skipper, M. C. B. Zaremsky,	For every finitely generated contracting self-similar group G, the Röver--Nekrashevych group V_d(G) is of type F_infinity	B
ct-p1-and-ct-p2-always-generate-ct-p1-union-p2	**Second proof.** Lane bh-artin proved the same theorem independently, in	For all sets P1, P2 of odd primes, CT_P1(Z) and CT_P2(Z) generate CT_(P1 ∪ P2)(Z); Kourovka Problem 21.75 has a negative answer	TB
ct-z-conjugacy-problem-is-undecidable	**ESTABLISHED** (lane proof, not reviewed).	Kohl's class transposition group CT(Z) has undecidable conjugacy problem, already for explicit pairs of words in CT_{3,5,7,11,13}(Z) and even when conjugators may be taken from RCWA(Z); this answers K	TB
ct-z-finite-cycle-problems-are-undecidable	**ESTABLISHED** (lane proof, not reviewed).	In Kohl's class transposition group CT(Z) it is undecidable whether a given element has only finite cycles, and whether it has no finite cycles; this answers Kourovka Problem 21.74(b) and (c) negative	TB
ct-z-finite-subgroups-are-classified-by-stabilizer-sets	**ESTABLISHED** (lane proof, not reviewed).	Two embeddings of a finite group in Kohl's CT(Z) are conjugate iff they have the same point-stabilizer subgroups on Z; so torsion elements are conjugate iff they have the same cycle lengths, and the c	B
ct-z-invariant-residue-partitions-are-not-conjugacy-invariant	**Status.** Lane proof, not reviewed, and elementary. It gives **partial results**:	"Kourovka 21.74(a): permuting a nontrivial residue-class partition is r.e. and holds for every finite-order element; it is not a conjugacy invariant in CT(Z); its conjugacy closure is: some power of g	TB
ct-z-residue-partitions-cannot-carve-thin-invariant-sets	**ESTABLISHED** (lane proof, not reviewed). Elementary. No priority is claimed.	"Kourovka 21.74(a), obstruction: a residue-class partition permuted by g in CT(Z) must put each clopen-indecomposable component in one class, so an invariant set created by a computation inside a thin	TB
dendrite-rearrangement-groups-are-finitely-presented	**ESTABLISHED (in the literature).** For every `n ≥ 3` the dendrite rearrangement	The rearrangement groups G_n of the Ważewski dendrites D_n are finitely presented	B
fg-complex-linear-groups-are-quasi-retracts-of-simple-groups	**OPEN.** Printed as Question 1.10 of Llosa Isenrich–Schesler–Wu, arXiv:2510.01952v1	Every finitely generated subgroup of GL_n(C) is a subgroup and a quasi-retract of a simple group with the same finiteness properties	B
fg-infinite-shift-similar-groups-are-strongly-shift-similar	**OPEN.** A yes or no answer both count as progress.	Every finitely generated infinite shift-similar group is strongly shift-similar (the finitely generated form of Mallery-Zaremsky Question 3.18); if true, Mallery-Zaremsky Question 5.13 is fully answer	TBBB
fg-linear-groups-embed-in-fp-self-similar-groups	**ESTABLISHED (lane proof by composition of nodes on main; not independently	Every finitely generated linear group, over any field, embeds in a finitely presented self-similar group	BB
fp-simple-group-of-finite-cohomological-dimension-above-two	**OPEN.**	There is a finitely presented infinite simple group of finite cohomological dimension greater than 2 (Kourovka 21.46)	T
