# GENERATED by scripts/sk_sentence_census.py --merge -- do not edit.
# Rows whose sentence does not survive at commit df52c39ba504fe577bdaf788de750e78f2ee3fbe.  They are not applied.
# Re-key each row by the current hash after checking the carrier against the new text;
# `hint` is the most similar current sentence (similarity >= 0.60), never applied.
where	lane	old_key	old_commit	old_lines	status	decls	note	old_sentence	hint	similarity
rows/ct-involution.tsv:1	ct-involution	c6bd4bf41f69	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	101-101	definition	GroupApproximation.SimpleKazhdanSofic.eU	ct-involution: e_U := ClopenCrossedProduct.coeff T k (LocallyConstant.charFn k hU), LANDED 2f481625d (RingPartitions), wire-queued; verbatim at e80dcf20a	Write $e_U$ for the indicator of a clopen set $U\subseteq X$.	dec3ec76e6d3	0.98
rows/ct-involution.tsv:2	ct-involution	d31438fef85b	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	101-102	definition	GroupApproximation.SimpleKazhdanSofic.subshiftHomeo	ct-involution: (Tx)_t = x_{t+1} is subshiftHomeo S, the map shift 1 on S.carrier (Setting, ms-intro-3, on origin); verbatim at e80dcf20a	Our conventions are $(Tx)_t=x_{t+1}$ and		
rows/ct-involution.tsv:3	ct-involution	9a58ee4cb6c1	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	103-106	definition	GroupApproximation.SimpleKazhdanSofic.R GroupApproximation.ClopenCrossedProduct.unit_mul_coeff_mul_inv GroupApproximation.ClopenCrossedProduct.exists_sum_coeff_mul_unit_zpow	ct-involution: R S = ClopenCrossedProduct (subshiftHomeo S) (ZMod 2), a skew monoid algebra with finite Laurent sums; u f u^-1 = f o T^-1 is unit_mul_coeff_mul_inv (chain-core, on origin); verbatim at e80dcf20a	[display] R=\LC(X,\F_2)\rtimes_T\Z=\bigoplus_{j\in\Z}\LC(X,\F_2)\,u^j, \qquad ufu^{-1}=f\circ T^{-1}.		
rows/ct-involution.tsv:4	ct-involution	6fdf439f1009	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	107-109	formalized	GroupApproximation.ClopenCrossedProduct.exists_sum_coeff_mul_unit_zpow GroupApproximation.SimpleKazhdanSofic.eq_of_sum_coeff_mul_unit_zpow_eq GroupApproximation.SimpleKazhdanSofic.coeff_mul_unit_zpow_mul_coeff_mul_unit_zpow GroupApproximation.SimpleKazhdanSofic.unit_mul_eU_mul_inv	ct-involution: every element is a finite sum (chain-core), uniquely by coefficient extraction, (fu^i)(f'u^j) = f (f' o T^-i) u^(i+j), all LANDED 374408a7c (RingLaurent); u e_U u^-1 = e_TU LANDED 2f481625d (RingPartitions); wire-queued; for every homeomorphism T and ring k; verbatim at e80dcf20a	So every element of $R$ is uniquely a finite sum $\sum_jf_ju^j$, the product is $(fu^i)(f'u^j)=f\,(f'\circ T^{-i})\,u^{i+j}$, and $ue_Uu^{-1}=e_{TU}$.		
rows/ct-involution.tsv:5	ct-involution	16a4a7086323	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	111-113	formalized	GroupApproximation.SimpleKazhdanSofic.printedRingGeneration GroupApproximation.SimpleKazhdanSofic.comap_letterIndicator GroupApproximation.SimpleKazhdanSofic.mem_closure_coeff GroupApproximation.SimpleKazhdanSofic.printedSubshiftRingFinitelyGenerated	ct-involution: along the printed route (translates u^j e_a u^-j are coordinate indicators, a locally constant function is a 0/1 sum of cylinder products over a finite window); every subshift over a finite alphabet; closed endpoints LANDED 22b15ce5e (RingGeneration), wire-queued; verbatim at e80dcf20a	The ring $R$ is generated by $u^{\pm1}$ and the letter indicators $e_a=e_{\{x:x_0=a\}}$, since products of the translates $u^je_au^{-j}$ are the cylinder indicators, which span $\LC(X,\F_2)$.		
rows/ct-involution.tsv:6	ct-involution	3606856b9a07	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	569-570	formalized	GroupApproximation.SimpleKazhdanSofic.printedConjugacyIsomorphism GroupApproximation.SimpleKazhdanSofic.conjRingEquiv GroupApproximation.SimpleKazhdanSofic.flipRingEquiv GroupApproximation.SimpleKazhdanSofic.nonempty_elementaryGroup_equiv_of_conj_or_flip	ct-involution: a topological conjugacy gives LC(X,k) x_T Z = LC(Y,k) x_S Z (comap along phi and phi^-1, u -> u), a flip gives R_S = R_(S^-1) (u -> u^-1), and elementaryCoefficientEquiv gives EL_n isomorphisms in every rank; printedConjugacyIsomorphism at the Subshift spelling with #audit_closed_axioms, LANDED 730da5240 (CrossedProductConjugacy), wire-queued; verbatim at 696c4b602	If $(X,T)$ is topologically conjugate to $(Y,S)$ or to $(Y,S^{-1})$, then $G_X\cong G_Y$.		
rows/ct-involution.tsv:7	ct-involution	44b4aa4489ab	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	556-558	partial	GroupApproximation.SimpleKazhdanSofic.printedFinitelyPresentedLEFResiduallyFinite GroupApproximation.SimpleKazhdanSofic.printedNotFinitelyPresentedOfLEFSimpleInfinite GroupApproximation.SimpleKazhdanSofic.printedGXNotFinitelyPresented_of_main	ct-involution: finitely presented LEF => residually finite and infinite simple LEF => not finitely presented are closed (#audit_closed_axioms); the G_X instance printedGXNotFinitelyPresented_of_main rests on PrintedSimpleKazhdanSoficMain (owner ct-two-ended: simplicity, marked limits, marked limit => LEF); LANDED 04ba48c58 (QuestionsNotFinitelyPresented, absorbed from ms-compress-4); verbatim at 696c4b602	A finitely presented LEF group is residually finite~\cite{Stepin,VershikGordon}, and the infinite simple group $G_X$ is not, so $G_X$ is not finitely presented.	e19e0d3328ad	0.65
rows/ct-involution.tsv:8	ct-involution	789a7c930456	42a95d13d3a40578307e4fe88b92bcdcca30b008	133-133	definition	GroupApproximation.ClopenGroupCrossedProduct.coeff GroupApproximation.ClopenGroupCrossedProduct.unit_mul_charFn_mul_inv	ct-involution: e_U is ClopenGroupCrossedProduct.coeff Lambda Z (ZMod 2) (LocallyConstant.charFn (ZMod 2) hU) (module A, sk-lef-action); verbatim at 696c4b602	Write $e_U$ for the indicator of a clopen set $U\subseteq Z$.	dec3ec76e6d3	0.98
rows/ct-involution.tsv:9	ct-involution	c402b5701867	42a95d13d3a40578307e4fe88b92bcdcca30b008	133-136	formalized	GroupApproximation.SimpleKazhdanSofic.printedGroupCrossedProductRing	ct-involution: Laurent existence and uniqueness, (f u_xi)(f' u_eta) = f (f' o xi^-1) u_(xi eta), u_xi e_U u_xi^-1 = e_(xi U), for every group action by homeomorphisms; #audit_closed_axioms; LANDED 04ba48c58 (GeneralRingPropertyT); verbatim at 696c4b602	The ring $R=\bigoplus_{\xi\in\Lambda}\LC(Z,\F_2)\,u_\xi$ has the multiplication $(fu_\xi)(f'u_\eta)=f\,(f'\circ\xi^{-1})\,u_{\xi\eta}$, so $u_\xi e_Uu_\xi^{-1}=e_{\xi U}$.	e8b2abde6cb8	0.99
rows/ct-involution.tsv:13	ct-involution	0e584234f12d	42a95d13d3a40578307e4fe88b92bcdcca30b008	141-143	formalized	GroupApproximation.SimpleKazhdanSofic.printedGeneralElementaryIdentities	ct-involution: eq:elementary in every rank, #audit_closed_axioms; LANDED 04ba48c58; verbatim at 696c4b602	[display] e_{ij}(r+s)=e_{ij}(r)e_{ij}(s),\qquad [e_{il}(r),e_{lj}(s)]=e_{ij}(rs).	321960985f46	0.93
